requirement,evidence,status,notes
"Use the named Board A plan file","docs/plans/2026-05-10-actionable-regime-confidence-todo.md","covered","Append-only writeback planned; current cursor not rewritten."
"Do not disturb other agents' work","state copied to docs/experiments/actionable-regime-confidence/runs/20260512T100421+0800-codex-post-093937-board-a-chain-readback-v1/state_readback_v1","covered","Readback ran in copied state."
"Check IBKR","command-output/00_provider_status_agent.stdout.json","blocked","ibkr and ibkr_bridge dependency-unhealthy though gateway is reachable."
"Check TradingViewRemix / TradingView MCP","command-output/00_provider_status_agent.stdout.json","covered","tradingview_mcp ready."
"Check yfinance / yf","command-output/00_provider_status_agent.stdout.json","covered","yfinance ready in live runtime and market-data lanes."
"Check Kraken","command-output/00_provider_status_agent.stdout.json","partial","kraken_cli ready; kraken_public dependency-unhealthy."
"Run Auto-Quant status","command-output/01_auto_quant_status.stdout.json","blocked","dependency healthy but data_ready=false; prepare required."
"Run filter / Pre-Bayes","command-output/02_pre_bayes_status.stdout.json","covered_non_promoting","latest_gate_status=pass_neutralized."
"Run BBN read-only evidence","command-output/02_pre_bayes_status.stdout.json","covered_non_promoting","single_label_95 read-only branch evidence exists but is not MainRegimeV2 root acceptance."
"Run CatBoost / path-ranking surface","command-output/06b_policy_training_status_output_format_agent.stdout.json; command-output/07_export_structural_path_ranking_target.stdout.json","partial","structural path-ranking trainer artifact ready; entry-model BBN/CatBoost training remains matched_rows=0."
"Run execution tree / execution-candidate","command-output/05_execution_candidate.stdout.json","covered_non_promoting","candidate_status=execution_observe_only; ready=false."
"Get every regime to 95%-99% confidence","post-093937-board-a-chain-readback-v1/post_093937_board_a_chain_readback_v1.json","not_satisfied","No new accepted MainRegimeV2 root packet."
"Validate across other markets, periods, and contexts","post-093937-board-a-chain-readback-v1/post_093937_board_a_chain_readback_v1.json","not_satisfied","No complete cross-market/cross-period/cross-context acceptance matrix."
"Record no hallucinated promotion","post-093937-board-a-chain-readback-v1/post_093937_board_a_chain_readback_v1.md","covered","Decision explicitly non-promoting."
"Do not call update_goal unless complete","post-093937-board-a-chain-readback-v1/post_093937_board_a_chain_readback_v1.json","covered","update_goal=false."
