requirement,status,evidence,blocker_or_gap
Use the named authoritative Board A markdown and do not disturb concurrent work,pass,board=docs/plans/2026-05-10-actionable-regime-confidence-todo.md cursor=20260512T010127+0800-codex-r6-owner-route-entitlement-readback-v1; append-only registrations observed,none
Every regime reaches accepted 95% confidence,blocked,011056/011954 accepted_source_confidence_labels=[]; 012425 accepted_labels=[],no accepted labels; Bull/Sideways are condition leads only; Bear/Crisis remain blocked
Bull has explicit qualifying condition and cross-market/period fields,partial,"012425 field_complete_labels includes Bull with instruments, periods, and market contexts",baseline full-row confidence gate failed; R6/canonical merge blocked; timeframe variety absent
Sideways has explicit qualifying condition and cross-market/period fields,partial,"012425 field_complete_labels includes Sideways with instruments, periods, and market contexts",baseline full-row confidence gate failed; R6/canonical merge blocked; timeframe variety absent
Bear accepted with 95% confidence and cross-axis validation,blocked,011819/012425 do not list Bear as field-complete or accepted,insufficient high-confidence split support
Crisis accepted with 95% confidence and cross-axis validation,blocked,011819/012425 do not list Crisis as field-complete or accepted,heldout-market and market-family coverage remain insufficient
Other markets validation remains accepted after transfer,blocked,Bull/Sideways have daily source-label market contexts only; no accepted labels,cross-market context is not enough without accepted confidence gate and canonical merge
Other cycles/timeframes validation remains accepted after transfer,blocked,012330/012425 daily-only condition leads; 012000 and 012139 show no native 15m/30m R3 rows,source-native multi-timeframe evidence absent
R6 direct Manipulation controls or explicit FLIP approval exist,blocked,tmp r6 root present=False; 010127 remains active cursor,owner-export normal controls and same-exhibit FLIP approval missing
R3 native sub-hour source labels exist for AAPL/^IXIC 15m/30m,blocked,tmp r3 root present=False; r3 decision=None; public screen=r3_native_subhour_public_web_source_screen_v1=no_ready_source_owned_native_subhour_rows_found,native sub-hour source-label rows/provenance absent
R5 post-2026-01-30 source-panel recency extension exists,blocked,tmp r5 root present=False; r5 decision=None,required R5 extension rows/provenance absent
"Run provider chain with IBKR, TradingViewRemix, yfinance, and Kraken",blocked,latest board evidence says downstream provider rerun allowed=false,accepted source/control roots and canonical merge are prerequisites
Run Auto-Quant -> filter/Pre-Bayes -> BBN -> CatBoost/path-ranking -> execution tree,blocked,012425 downstream_chain_rerun_allowed=False,downstream promotion disallowed until accepted source/control roots exist
"No proxy promotion, threshold relaxation, raw-data commit, or runtime mutation",pass,"012425 assertions pass for roots_not_mutated, thresholds_relaxed_false, raw_data_committed_false",none
