requirement,status,evidence
"Authoritative Board B markdown updated append-only","pass","docs/plans/2026-05-10-regime-conditional-auto-quant-profitability-todo.md"
"Current Cursor remains fail-closed 034002/downstream-combined-v1","pass","Board B v14 readback"
"050609 counted once as non-promoting diagnostic evidence","pass","050609 count-once rows and v13/v14 audit"
"051145 runtime/status readback is diagnostic only","pass","Board B 051145 supplemental row"
"051247 owner data routes do not unlock source-control evidence","pass","official_owner_data_route_refresh_after_050609_v1 assertions"
"051153 provider refresh and IBKR SPY retry are provider reachability only","pass","provider_source_root_readonly_refresh_after_050609_v1 assertions and fetch_ibkr_spy_1d_retry_default_uv artifacts"
"051556 copied-state config rebase tests are plumbing only","pass","Board B 051556 supplemental row"
"Explicit user selection of exactly one HTF=1d, MTF=4h, or LTF=1h exists","fail","No explicit one-of-three user selection found in board tail/readback"
"Fresh selected-data Auto-Quant training exists after selection","fail","No selected-data run after explicit user selection"
"Nonzero mature rooted selected observations exist","fail","No selected-data Auto-Quant/factor-research maturity evidence"
"Pre-Bayes/filter to BBN to CatBoost/path-ranker to execution tree promotion chain rerun is justified","fail","Blocked until selected-data evidence exists"
"Goal complete","fail","strict_full_objective=false; goal_complete=false"
"Promotion allowed","fail","promotion_allowed=false"
"update_goal allowed","fail","update_goal=false"
