split_family,split_name,positive_support,negative_support,min_wilson95_lcb,current_pass,positive_rows_needed_to_95,negative_rows_needed_to_95,pair_rows_needed_to_95,guidance
pooled_all_source_rows,all_rows,73,73,0.950006246616,True,0,0,0,pooled axis already passes; do not optimize for more aggregate rows alone
chronological_group_split,chronological_train,38,38,0.908187067416,False,35,35,35,add date-diverse positive/control groups that land in this chronological role after recomputing splits
chronological_group_split,chronological_calibration,17,17,0.815676339628,False,56,56,56,add date-diverse positive/control groups that land in this chronological role after recomputing splits
chronological_group_split,chronological_test,18,18,0.824115449418,False,55,55,55,add date-diverse positive/control groups that land in this chronological role after recomputing splits
heldout_symbol_exact,April 2017 Gold futures,2,2,0.34237195289,False,71,71,71,only concentrated same-symbol row families move this exact-symbol gate
heldout_symbol_exact,August-delivery Gold Futures,3,3,0.438493919551,False,70,70,70,only concentrated same-symbol row families move this exact-symbol gate
heldout_symbol_exact,CBOT soybean call options,0,2,0.0,False,73,71,73,avoid adding more of this exact symbol unless both positive and control rows can be brought toward the 95 gate
heldout_symbol_exact,CBOT soybean futures,4,2,0.34237195289,False,69,71,71,only concentrated same-symbol row families move this exact-symbol gate
heldout_symbol_exact,CLM0-CLU0 crude oil June-September 2020 calendar spread,2,2,0.34237195289,False,71,71,71,only concentrated same-symbol row families move this exact-symbol gate
heldout_symbol_exact,CLM0-CLZ0 crude oil June-December 2020 calendar spread,2,2,0.34237195289,False,71,71,71,only concentrated same-symbol row families move this exact-symbol gate
heldout_symbol_exact,COMEX Gold Futures,6,6,0.609656966347,False,67,67,67,only concentrated same-symbol row families move this exact-symbol gate
heldout_symbol_exact,COMEX Gold Futures June delivery,1,1,0.206543291474,False,72,72,72,only concentrated same-symbol row families move this exact-symbol gate
heldout_symbol_exact,COMEX Silver Futures,1,1,0.206543291474,False,72,72,72,only concentrated same-symbol row families move this exact-symbol gate
heldout_symbol_exact,COMEX copper futures,0,2,0.0,False,73,71,73,avoid adding more of this exact symbol unless both positive and control rows can be brought toward the 95 gate
heldout_symbol_exact,December 2013 E-mini Dow futures,2,2,0.34237195289,False,71,71,71,only concentrated same-symbol row families move this exact-symbol gate
heldout_symbol_exact,December 2013 E-mini NASDAQ futures,2,2,0.34237195289,False,71,71,71,only concentrated same-symbol row families move this exact-symbol gate
heldout_symbol_exact,December 2014 E-mini S&P 500 futures,1,1,0.206543291474,False,72,72,72,only concentrated same-symbol row families move this exact-symbol gate
heldout_symbol_exact,December 2017 Gold futures,1,1,0.206543291474,False,72,72,72,only concentrated same-symbol row families move this exact-symbol gate
heldout_symbol_exact,December 2017 Silver futures,1,1,0.206543291474,False,72,72,72,only concentrated same-symbol row families move this exact-symbol gate
heldout_symbol_exact,December-delivery Gold Futures,7,7,0.645661157025,False,66,66,66,only concentrated same-symbol row families move this exact-symbol gate
heldout_symbol_exact,E-mini S&P 500 futures,9,9,0.700847246449,False,64,64,64,only concentrated same-symbol row families move this exact-symbol gate
heldout_symbol_exact,"Gold Futures contract, April 2014 expiry",1,1,0.206543291474,False,72,72,72,only concentrated same-symbol row families move this exact-symbol gate
heldout_symbol_exact,"Gold Futures contract, August 2015 expiry",1,1,0.206543291474,False,72,72,72,only concentrated same-symbol row families move this exact-symbol gate
heldout_symbol_exact,"Gold Futures contract, December 2013 expiry",1,1,0.206543291474,False,72,72,72,only concentrated same-symbol row families move this exact-symbol gate
