name,returncode,summary,stdout_path,stderr_path,exit_path
direct_manipulation_row_intake_verifier,0,schema_ready_unscored,docs/experiments/actionable-regime-confidence/runs/20260512T000417-codex-current-objective-gap-chain-audit-v1/command-output/direct_manipulation_row_intake_verifier.stdout.txt,docs/experiments/actionable-regime-confidence/runs/20260512T000417-codex-current-objective-gap-chain-audit-v1/command-output/direct_manipulation_row_intake_verifier.stderr.txt,docs/experiments/actionable-regime-confidence/runs/20260512T000417-codex-current-objective-gap-chain-audit-v1/command-output/direct_manipulation_row_intake_verifier.exit
provider_status_agent,0,returncode=0,docs/experiments/actionable-regime-confidence/runs/20260512T000417-codex-current-objective-gap-chain-audit-v1/command-output/provider_status_agent.stdout.txt,docs/experiments/actionable-regime-confidence/runs/20260512T000417-codex-current-objective-gap-chain-audit-v1/command-output/provider_status_agent.stderr.txt,docs/experiments/actionable-regime-confidence/runs/20260512T000417-codex-current-objective-gap-chain-audit-v1/command-output/provider_status_agent.exit
provider_status_compact,0,returncode=0,docs/experiments/actionable-regime-confidence/runs/20260512T000417-codex-current-objective-gap-chain-audit-v1/command-output/provider_status_compact.stdout.txt,docs/experiments/actionable-regime-confidence/runs/20260512T000417-codex-current-objective-gap-chain-audit-v1/command-output/provider_status_compact.stderr.txt,docs/experiments/actionable-regime-confidence/runs/20260512T000417-codex-current-objective-gap-chain-audit-v1/command-output/provider_status_compact.exit
ict_auto_quant_status,0,missing_dependency,docs/experiments/actionable-regime-confidence/runs/20260512T000417-codex-current-objective-gap-chain-audit-v1/command-output/ict_auto_quant_status.stdout.txt,docs/experiments/actionable-regime-confidence/runs/20260512T000417-codex-current-objective-gap-chain-audit-v1/command-output/ict_auto_quant_status.stderr.txt,docs/experiments/actionable-regime-confidence/runs/20260512T000417-codex-current-objective-gap-chain-audit-v1/command-output/ict_auto_quant_status.exit
analyze_demo,0,returncode=0,docs/experiments/actionable-regime-confidence/runs/20260512T000417-codex-current-objective-gap-chain-audit-v1/command-output/analyze_demo.stdout.txt,docs/experiments/actionable-regime-confidence/runs/20260512T000417-codex-current-objective-gap-chain-audit-v1/command-output/analyze_demo.stderr.txt,docs/experiments/actionable-regime-confidence/runs/20260512T000417-codex-current-objective-gap-chain-audit-v1/command-output/analyze_demo.exit
pre_bayes_status,0,latest_gate_status=pass_neutralized,docs/experiments/actionable-regime-confidence/runs/20260512T000417-codex-current-objective-gap-chain-audit-v1/command-output/pre_bayes_status.stdout.txt,docs/experiments/actionable-regime-confidence/runs/20260512T000417-codex-current-objective-gap-chain-audit-v1/command-output/pre_bayes_status.stderr.txt,docs/experiments/actionable-regime-confidence/runs/20260512T000417-codex-current-objective-gap-chain-audit-v1/command-output/pre_bayes_status.exit
evidence_quality_breakdown,0,returncode=0,docs/experiments/actionable-regime-confidence/runs/20260512T000417-codex-current-objective-gap-chain-audit-v1/command-output/evidence_quality_breakdown.stdout.txt,docs/experiments/actionable-regime-confidence/runs/20260512T000417-codex-current-objective-gap-chain-audit-v1/command-output/evidence_quality_breakdown.stderr.txt,docs/experiments/actionable-regime-confidence/runs/20260512T000417-codex-current-objective-gap-chain-audit-v1/command-output/evidence_quality_breakdown.exit
policy_training_status,0,"entry_models=2 matched_rows=[0, 0]",docs/experiments/actionable-regime-confidence/runs/20260512T000417-codex-current-objective-gap-chain-audit-v1/command-output/policy_training_status.stdout.txt,docs/experiments/actionable-regime-confidence/runs/20260512T000417-codex-current-objective-gap-chain-audit-v1/command-output/policy_training_status.stderr.txt,docs/experiments/actionable-regime-confidence/runs/20260512T000417-codex-current-objective-gap-chain-audit-v1/command-output/policy_training_status.exit
workflow_status_execution_candidate,0,returncode=0,docs/experiments/actionable-regime-confidence/runs/20260512T000417-codex-current-objective-gap-chain-audit-v1/command-output/workflow_status_execution_candidate.stdout.txt,docs/experiments/actionable-regime-confidence/runs/20260512T000417-codex-current-objective-gap-chain-audit-v1/command-output/workflow_status_execution_candidate.stderr.txt,docs/experiments/actionable-regime-confidence/runs/20260512T000417-codex-current-objective-gap-chain-audit-v1/command-output/workflow_status_execution_candidate.exit
export_structural_path_ranking_target,0,rows=3 mature_rows=0,docs/experiments/actionable-regime-confidence/runs/20260512T000417-codex-current-objective-gap-chain-audit-v1/command-output/export_structural_path_ranking_target.stdout.txt,docs/experiments/actionable-regime-confidence/runs/20260512T000417-codex-current-objective-gap-chain-audit-v1/command-output/export_structural_path_ranking_target.stderr.txt,docs/experiments/actionable-regime-confidence/runs/20260512T000417-codex-current-objective-gap-chain-audit-v1/command-output/export_structural_path_ranking_target.exit
local_auto_quant_run_help,2,returncode=2,docs/experiments/actionable-regime-confidence/runs/20260512T000417-codex-current-objective-gap-chain-audit-v1/command-output/local_auto_quant_run_help.stdout.txt,docs/experiments/actionable-regime-confidence/runs/20260512T000417-codex-current-objective-gap-chain-audit-v1/command-output/local_auto_quant_run_help.stderr.txt,docs/experiments/actionable-regime-confidence/runs/20260512T000417-codex-current-objective-gap-chain-audit-v1/command-output/local_auto_quant_run_help.exit
