label,source_report,source_section,trade_date,symbol,venue_or_market_center,participant_type_code,participant_identifier,side,earliest_order_received_time,latest_order_received_time,order_count,total_order_quantity,activity_description,matched_negative_group_id,session_bucket,source_row_id
positive_spoofing_layering,"CFTC Order: Kamaldeep Gandhi, CFTC Docket No. 19-01","Findings II.A.i, December 16 2013 March 2014 E-mini S&P example",2013-12-16,March 2014 E-mini S&P 500 futures,CME,CFTC respondent trader; firm account redacted,Kamaldeep Gandhi / Firm A,sell spoof orders opposite buy genuine iceberg order,04:45:57.496 America/Chicago,04:46:13.240 America/Chicago,27 spoof orders in four groups,600 contracts,"Public CFTC findings describe four sell-side spoof groups opposite a buy iceberg order, followed by full cancellation of the spoof groups.",cftc_gandhi_20131216_es_example,overnight_central_time,cftc_gandhi_20131216_es_sell_spoof_groups
positive_spoofing_layering,"CFTC Order: Kamaldeep Gandhi, CFTC Docket No. 19-01","Findings II.A.ii, September 17 2014 December 2014 E-mini S&P example",2014-09-17,December 2014 E-mini S&P 500 futures,CME,CFTC respondent trader; firm account redacted,Kamaldeep Gandhi / Firm A,buy spoof orders opposite sell genuine iceberg order,10:09:15.339 America/Chicago,10:09:16.932 America/Chicago,iceberg buy spoof order plus additional spoof group,250 contracts plus additional group quantity described in source,"Public CFTC findings describe buy-side spoof orders opposite a sell genuine iceberg order, followed by cancellation milliseconds after the genuine order filled.",cftc_gandhi_20140917_es_example,regular_us_central_time,cftc_gandhi_20140917_es_buy_spoof_groups
positive_spoofing_layering,"CFTC Complaint: Krishna Mohan, CFTC v. Mohan, Case 4:18-cv-00260","Complaint paragraphs 48-49 and Exhibit A, November 27 2013 E-mini Dow examples",2013-11-27,December 2013 E-mini Dow futures,CBOT,CFTC defendant trader; firm account YB01,Krishna Mohan / Trading Firm account YB01,sell spoof orders opposite buy genuine iceberg order,08:05:40.703 America/Chicago,08:05:42.684 America/Chicago,multiple orders via order splitter,40 contracts,"Source complaint describes multiple sell spoof orders entered at the second-ask level, followed by full cancellation after the matched buy iceberg genuine order filled.",cftc_mohan_20131127_dow_first_example,regular_us_central_time,cftc_mohan_20131127_dow_sell_spoof_group
positive_spoofing_layering,"CFTC Complaint: Krishna Mohan, CFTC v. Mohan, Case 4:18-cv-00260","Complaint paragraphs 48-49 and Exhibit A, November 27 2013 E-mini Dow examples",2013-11-27,December 2013 E-mini Dow futures,CBOT,CFTC defendant trader; firm account YB01,Krishna Mohan / Trading Firm account YB01,buy spoof orders opposite sell genuine iceberg order,08:05:45.024 America/Chicago,08:05:47.421 America/Chicago,two groups of multiple orders via order splitter,80 contracts,"Source complaint describes two buy-side spoof groups entered opposite the matched sell iceberg genuine order, followed by cancellations after the genuine order filled.",cftc_mohan_20131127_dow_second_example,regular_us_central_time,cftc_mohan_20131127_dow_buy_spoof_groups
positive_spoofing_layering,"CFTC Complaint: Krishna Mohan, CFTC v. Mohan, Case 4:18-cv-00260","Complaint paragraphs 52-53 and Exhibit C, December 9 2013 E-mini NASDAQ examples",2013-12-09,December 2013 E-mini NASDAQ futures,CME,CFTC defendant trader; firm account YB01,Krishna Mohan / Trading Firm account YB01,sell spoof orders opposite buy genuine iceberg order,05:27:42.713 America/Chicago,05:27:45.480 America/Chicago,two groups of multiple orders via order splitter,80 contracts,Source complaint describes two sell-side spoof groups entered opposite a buy iceberg genuine order; the spoof groups were canceled shortly after the genuine order partially filled.,cftc_mohan_20131209_nq_first_example,overnight_central_time,cftc_mohan_20131209_nq_sell_spoof_groups
positive_spoofing_layering,"CFTC Complaint: Krishna Mohan, CFTC v. Mohan, Case 4:18-cv-00260","Complaint paragraphs 52-53 and Exhibit C, December 9 2013 E-mini NASDAQ examples",2013-12-09,December 2013 E-mini NASDAQ futures,CME,CFTC defendant trader; firm account YB01,Krishna Mohan / Trading Firm account YB01,buy spoof orders opposite sell genuine iceberg order,05:27:46.505 America/Chicago,05:27:47.976 America/Chicago,two groups of multiple orders via order splitter,80 contracts,Source complaint describes two buy-side spoof groups entered opposite a sell iceberg genuine order; the spoof groups were canceled shortly after the genuine order filled.,cftc_mohan_20131209_nq_second_example,overnight_central_time,cftc_mohan_20131209_nq_buy_spoof_groups
positive_spoofing_layering,"CFTC Complaint: CFTC v. Daniel Lawrence Shak, Case 2:22-cv-01258, Document 1","Paragraphs 49-53, Example 1, March 3 2017 April 2017 Gold",2017-03-03,April 2017 Gold futures,COMEX,CFTC defendant trader,Daniel Lawrence Shak,buy spoof orders opposite sell genuine order,07:53:21.124 America/Chicago,07:53:58.693 America/Chicago,ten spoof orders,200 lots,"CFTC complaint describes ten buy-side spoof orders entered while a one-lot genuine sell order was worked, then canceled after the genuine order filled.",cftc_shak_20170303_gc_example1,regular_us_central_time,cftc_shak_20170303_gold_buy_spoof_group
positive_spoofing_layering,"CFTC Complaint: CFTC v. Daniel Lawrence Shak, Case 2:22-cv-01258, Document 1","Paragraphs 55-60, Example 2, March 24 2017 April 2017 Gold",2017-03-24,April 2017 Gold futures,COMEX,CFTC defendant trader,Daniel Lawrence Shak,buy spoof orders opposite sell genuine order,08:30:20.375 America/Chicago,08:30:42.819 America/Chicago,five spoof orders,300 lots,CFTC complaint describes one initial 50-lot spoof order and four further buy-side spoof orders opposite a five-lot genuine sell order.,cftc_shak_20170324_gc_example2,regular_us_central_time,cftc_shak_20170324_gold_buy_spoof_group
positive_spoofing_layering,"CFTC Complaint: CFTC v. Daniel Lawrence Shak, Case 2:22-cv-01258, Document 1","Paragraphs 61-66, Example 3, September 18 2017 December 2017 Silver",2017-09-18,December 2017 Silver futures,COMEX,CFTC defendant trader,Daniel Lawrence Shak,buy spoof orders opposite sell genuine orders,06:30:46.389 America/Chicago,06:31:39.576 America/Chicago,eight spoof orders,340 lots,"CFTC complaint describes eight buy-side spoof orders opposite two one-lot genuine sell orders, canceled after the genuine orders filled.",cftc_shak_20170918_si_example3,regular_us_central_time,cftc_shak_20170918_silver_buy_spoof_group
positive_spoofing_layering,"CFTC Complaint: CFTC v. Daniel Lawrence Shak, Case 2:22-cv-01258, Document 1","Paragraphs 73-76, Example 4B, October 5 2017 December 2017 Gold",2017-10-05,December 2017 Gold futures,COMEX,CFTC defendant trader,Daniel Lawrence Shak,buy spoof orders opposite sell genuine iceberg order,09:47:34.921 America/Chicago,09:49:01.332 America/Chicago,nine spoof orders,225 lots,"CFTC complaint describes nine buy-side spoof orders opposite a sell iceberg order, followed by cancellations after the iceberg order filled.",cftc_shak_20171005_gc_example4b,regular_us_central_time,cftc_shak_20171005_gold_buy_spoof_group
