requirement,evidence,status,coverage_gap
"Every active regime reaches calibrated confidence >=95%","053852/055058 HGB field materialization/readback: Bear/Bull/Crisis/Sideways diagnostic packets above threshold","diagnostic_only","Source/control evidence absent, so diagnostic confidence cannot be promoted"
"Each accepted regime has its own qualifying condition","053852 per-regime field materialization and 055058 aggregate readback","diagnostic_only","Fields exist but remain non-promoting until source/control unlock"
"Validate across other markets/products and periods","053852/055058 validation instruments, split periods, and contexts; 053856 notes daily-only axis","partial","Native cross-timeframe/source-label validation is missing"
"Validate across other timeframes/cycles","053856 validation-axis audit and later current-objective audits","missing","All accepted HGB rows remain daily/source-label-equivalent; no native R3 sub-hour source-label rows"
"Use IBKR/TradingViewRemix/yfinance/Kraken/provider paths","055129 provider/AutoQuant correction records IBKR/Kraken/yfinance bars; TradingViewRemix remains unhealthy/proxy-only","partial_non_promoting","Provider bars are OHLCV inputs, not source-owned labels or R6 controls"
"Use AutoQuant concretely","055200 readiness readback and 060056 isolated local-cache AutoQuant/FreqTrade backtest","partial_non_promoting","060056 sidecar backtests run, but canonical ict-engine AutoQuant status remains dependency_ready_data_missing and data_ready=false"
"Run filter/Pre-Bayes, BBN, CatBoost/path-ranking, execution-tree after unlock","054116/related readonly runtime readbacks exist before unlock; no post-source/control downstream rerun","blocked","Source/control gate has not unlocked, so downstream promotion chain must not be rerun as accepting evidence"
"Acquire source/control evidence","060032 local owner-export/control search; approval package; required root checks","missing","060032 found no accepted controls, required roots absent, approval false"
"Canonical merge allowed","approval package and required root checks","false","canonical_merge_allowed_now=false"
"Downstream promotion rerun allowed","approval package and required root checks","false","downstream_rerun_allowed_now=false"
"No proxy completion from provider bars or AutoQuant backtest","055129/060056 assertions","satisfied","Recorded as non-promoting only"
"Multi-agent board safety","Board uses append-only sections and count-once reconciliations for 055912, 060032, and 060056","partial","Concurrent duplicate text exists; count-once notes preserve counting but board remains noisy"
"Same markdown updated","docs/plans/2026-05-10-actionable-regime-confidence-todo.md","satisfied","This audit still needs board registration after final hash reread"
"Goal/update_goal eligibility","approval package and this audit assertions","not_eligible","strict_full_objective_achieved=false and update_goal=false"
