requirement,evidence,status,gap
Board file is the active contract and cursor is read before edits,board=docs/plans/2026-05-10-actionable-regime-confidence-todo.md; last_loop_id=20260512T000801+0800-codex-r6-exact-split-support-debt-audit-v1; current_run_root=`docs/experiments/actionable-regime-confidence/runs/20260512T000801-codex-r6-exact-split-support-debt-audit-v1`,covered_readback,None for readback; append-only writeback still must re-read before patching.
Every active regime reaches 95 percent calibrated confidence,"cursor confidence_lane=`blocked` for strict full objective; prior scoped active-lane `95` evidence remains preserved.; blocker=Strict objective remains blocked: pooled R6 is no longer the binding issue; current exact chronological/symbol/venue split contract requires hundreds to thousands of additional balanced rows, while only `19` not-yet-materialized candidate positives remain and `22` candidate rows lack matched controls; direct species coverage, source-label confidence (`0/4`), R5 post-`2026-01-30` source-panel rows, and R3 native-subhour root remain blocked.",not_achieved,Strict full objective still reports blocked; source-label confidence 0/4 and R3/R5 blockers remain in cursor.
Cross-market and cross-timeframe validation remains confident,R6 chronological=False; symbol=False; venue=False,not_achieved,R6 pooled gate passes but chronological/symbol/venue gates are false; R3 native-subhour and R5 recency remain blocked.
"Direct Manipulation/R6 gate is based on real direct rows, not OHLCV proxy",live verifier status=schema_ready_unscored; positives=73; controls=73; R6 pooled=True,partial,"R6 direct pooled Wilson95 passes on 73/73, but split gates and species coverage remain false."
Missing direct Manipulation species are covered,"{""direct_species_closed"": false, ""label_counts"": {""matched_negative_normal_activity"": 68, ""normal_control"": 5, ""positive_spoofing_layering"": 73}, ""missing_required_varieties_from_board"": [""quote_stuffing"", ""pinging"", ""bear_raid_or_painting_tape"", ""social_or_text_pump_dump""], ""observed_positive_term_flags"": {""calendar_spread"": true, ""cross_market"": true, ""large_lot"": false, ""spoof_or_layer"": true}, ""schema_has_direct_species_field"": false}",not_achieved,"Current schema/labels are spoofing-layering centered; missing quote stuffing, pinging, bear raid/painting tape, and pump-dump social/text varieties."
"Operate provider paths: IBKR, TradingViewRemix, yfinance, Kraken",returncode=0,partial,"Provider command ran, but current provider catalog remains degraded for IBKR, TradingView MCP, and Kraken public; yfinance and kraken_cli are usable context only."
Operate Auto-Quant rather than infer from docs,"ict auto-quant=missing_dependency; local Auto-Quant command=returncode=2; inventory={""default_strategy_files"": [], ""external_strategy_files"": [""user_data/strategies_external/TomacNQ_KillzoneBreakout.py""], ""feather_data_files_sample"": [""user_data/data/AAPL_USD-1d.feather"", ""user_data/data/AVAX_USDT-1d.feather"", ""user_data/data/AVAX_USDT-1h.feather"", ""user_data/data/AVAX_USDT-4h.feather"", ""user_data/data/BNB_USDT-1d.feather"", ""user_data/data/BNB_USDT-1h.feather"", ""user_data/data/BNB_USDT-4h.feather"", ""user_data/data/BTCY_USD-1d.feather"", ""user_data/data/BTC_USDT-1d.feather"", ""use",partial,"ict-managed Auto-Quant remains bootstrap/missing_dependency; local Auto-Quant runs but default strategy dir is empty. Existing external strategy/data are inventoried, not promoted into Board A."
Run filter / Pre-Bayes / belief-network path,pre_bayes=latest_gate_status=pass_neutralized; evidence_quality=returncode=0,partial,"Surface ran, but current isolated state does not produce an accepted Board A 95 percent regime closure."
Run CatBoost/path-ranker and execution tree surfaces,"policy_training=entry_models=2 matched_rows=[0, 0]; path_ranker=rows=3 mature_rows=0; workflow_execution=returncode=0",partial,Policy/CatBoost/path-ranker surface has no mature matched production rows for strict completion; workflow remains observe/no-trade.
Do not disturb other agents' construction,This run writes only under its own run root and /tmp state; shared live intake is read-only.,covered,Board patch still requires fresh tail/hash readback immediately before editing.
