requirement,evidence,status,notes
named_authoritative_markdown_updated,docs/plans/2026-05-10-actionable-regime-confidence-todo.md,pass,"same board owns cursor, sections, and Evidence Ledger"
every_active_regime_has_95_confidence,docs/experiments/actionable-regime-confidence/runs/20260511T153637-codex-regime-factor-consumer-map-v1/regime-factor-map/regime_factor_consumer_map_v1.json,pass_scoped,"accepted lanes 5/5: Bull,Bear,Sideways,Crisis,Manipulation"
mainregimev2_roots_are_exact,docs/experiments/actionable-regime-confidence/runs/20260511T153637-codex-regime-factor-consumer-map-v1/regime-factor-map/regime_factor_consumer_map_v1.json,pass,"Bull,Bear,Sideways,Crisis"
price_root_confidence_floor_ge_95,docs/experiments/actionable-regime-confidence/runs/20260511T153637-codex-regime-factor-consumer-map-v1/regime-factor-map/regime_factor_consumer_map_v1.json,pass,min price-root floor=0.9529358324
manipulation_direct_not_proxy,docs/experiments/actionable-regime-confidence/runs/20260511T131311-codex-direct-manipulation-variety-matrix-v1/direct-manipulation/direct_manipulation_variety_matrix_v1.json,pass_scoped,scoped direct floor=0.967945; full coverage=False
validate_on_other_markets,docs/experiments/actionable-regime-confidence/runs/20260511T141910-codex-exact-1h-source-universe-expansion-v1/exact-1h-universe/exact_1h_source_universe_expansion_v1.json,partial,"39-ticker source panel context exists, but full NQ/QQQ/futures/crypto/FX source-label equivalence is not closed"
validate_on_other_timeframes,docs/experiments/actionable-regime-confidence/runs/20260511T131922-codex-source-consensus-axiswise-timeframe-gate-v1/source-consensus-axiswise/source_consensus_axiswise_timeframe_gate_v1.json,partial,daily/1w/1mo/exact 1h context exists; native sub-hour source overlap remains blocked
full_cycle_coverage,docs/experiments/actionable-regime-confidence/runs/20260511T155959-current-goal-completion-audit-v14-after-consumer-map/completion-audit/current_goal_completion_audit_v14_after_consumer_map.json,partial,source recency remains capped at stock-market-regimes panel through 2026-01-30
full_species_coverage,docs/experiments/actionable-regime-confidence/runs/20260511T155959-current-goal-completion-audit-v14-after-consumer-map/completion-audit/current_goal_completion_audit_v14_after_consumer_map.json,fail,full species/cross-market equivalence missing beyond source-panel context
ticker_specific_strict_support,docs/experiments/actionable-regime-confidence/runs/20260511T141910-codex-exact-1h-source-universe-expansion-v1/exact-1h-universe/exact_1h_source_universe_expansion_v1.json,partial,strict accepted ticker/root rows=41/156
direct_manipulation_full_varieties,docs/experiments/actionable-regime-confidence/runs/20260511T131311-codex-direct-manipulation-variety-matrix-v1/direct-manipulation/direct_manipulation_variety_matrix_v1.json,fail,"missing/blocked varieties include spoofing/layering, quote stuffing, pinging, bear raid or painting tape"
do_not_report_final_success_until_complete,docs/experiments/actionable-regime-confidence/runs/20260511T155959-current-goal-completion-audit-v14-after-consumer-map/completion-audit/current_goal_completion_audit_v14_after_consumer_map.json,pass_guardrail,full_objective_achieved=false and call_update_goal=false
