requirement,evidence,status,notes
named board authoritative ledger,"docs/plans/2026-05-10-actionable-regime-confidence-todo.md hash ae2ccacdb08f43ed38dce0d0658185a314e4a7cc729425c7f680f72d00fc5fd3",satisfied_for_this_audit,"Append-only audit root"
multi-agent safety,"new run root; no edits to other run roots",satisfied_for_this_audit,"Does not consume in-progress empty 051640 root"
Bull 95 confidence own qualifier cross-axis,"045926 accepted []; 050609 accepted []; 050609 Bull min support/Wilson95 0/0.0",blocked,"No accepted Bull packet"
Bear 95 confidence own qualifier cross-axis,"045926 Bear best min Wilson95 0.6435280915; 050609 Bear min support/Wilson95 0/0.0",blocked,"No accepted Bear packet"
Sideways 95 confidence own qualifier cross-axis,"045926 Sideways best min Wilson95 0.3659108855; 050609 Sideways min support/Wilson95 0/0.0",blocked,"No accepted Sideways packet"
Crisis 95 confidence own qualifier cross-axis,"045926 Crisis best min Wilson95 0.4324193032; 050609 Crisis min support/Wilson95 0/0.0",blocked,"No accepted Crisis packet"
R6 source-control root,"/tmp/ict-engine-board-a-r6-owner-export-v1 absent",blocked,"No verifier-native owner/export rows"
R3 native sub-hour source-label root,"/tmp/ict-engine-native-subhour-source-label-intake absent",blocked,"No native sub-hour rows"
R5 recency-extension source-panel root,"/tmp/ict-engine-source-panel-recency-extension absent",blocked,"No R5 recency-extension rows"
explicit approval,"approval_present=false; canonical_merge_allowed_now=false; downstream_rerun_allowed_now=false",blocked,"No approval to merge or rerun promotion"
provider paths exercised,"051153 yfinance 197 rows; Kraken 721 rows; IBKR SPY retry 21 rows; TradingView harness exit 1",partial_non_promoting,"Provider reachability is not source/control evidence"
AutoQuant and downstream surfaces exercised,"051145 command failures 0 across provider AutoQuant Pre-Bayes policy workflow path-ranking",partial_non_promoting,"Read-only runtime evidence only"
canonical merge and promotion rerun,"canonical_merge=false; downstream_promotion_rerun=false",blocked,"No unlock"
update_goal authorization,"strict_full_objective=false; accepted labels 0; source_control_evidence_acquired=false",not_allowed,"Do not call update_goal"
