axis,name,positive_rows,negative_rows
symbol,"10-Year T-Note Futures contract, December 2011 expiry",1,1
symbol,"10-Year T-Note Futures contract, March 2010 expiry",1,1
symbol,April 2017 Gold futures,2,2
symbol,August-delivery Gold Futures,3,3
symbol,CBOT soybean call options,0,2
symbol,CBOT soybean futures,4,2
symbol,CLM0-CLU0 crude oil June-September 2020 calendar spread,2,2
symbol,CLM0-CLZ0 crude oil June-December 2020 calendar spread,2,2
symbol,COMEX Gold Futures,6,6
symbol,COMEX Gold Futures June delivery,1,1
symbol,COMEX Silver Futures,1,1
symbol,COMEX copper futures,0,2
symbol,December 2013 E-mini Dow futures,2,2
symbol,December 2013 E-mini NASDAQ futures,2,2
symbol,December 2014 E-mini S&P 500 futures,1,1
symbol,December 2017 Gold futures,1,1
symbol,December 2017 Silver futures,1,1
symbol,December-delivery Gold Futures,7,7
symbol,E-mini S&P 500 futures,9,9
symbol,"Gold Futures contract, April 2014 expiry",1,1
symbol,"Gold Futures contract, August 2015 expiry",1,1
symbol,"Gold Futures contract, December 2013 expiry",1,1
symbol,"Gold Futures contract, June 2013 expiry",2,2
symbol,ICE Brent/WTI crude spread April 2020,1,1
symbol,LME copper futures / COMEX copper futures cross-market example,2,0
symbol,March 2014 E-mini S&P 500 futures,1,1
symbol,March 2018 Crude Oil futures,4,4
symbol,March 2018 Silver futures,4,4
symbol,March-delivery Silver Futures,1,1
symbol,NGH0-NGJ0 natural gas March-April 2020 calendar spread,3,3
symbol,"Platinum Futures contract, July 2016 expiry",1,1
symbol,RBOB gasoline futures,1,1
symbol,"Silver Futures contract, March 2012 expiry",1,1
symbol,"Silver Futures contract, March 2013 expiry",1,1
symbol,"Silver Futures contract, March 2014 expiry",1,1
symbol,"Silver Futures contract, May 2014 expiry",1,1
symbol,Soft Red Winter wheat futures,1,1
symbol,"T-Bond Futures contract, September 2009 expiry",1,1
symbol,"Ultra T-Bond Futures contract, September 2015 expiry",1,1
symbol,light sweet crude oil futures,1,1
venue_or_market_center,CBOT,2,2
venue_or_market_center,CBOT/CME Globex,8,8
venue_or_market_center,CME,4,4
venue_or_market_center,CME Globex,9,9
venue_or_market_center,CME Group registered futures market (source order),3,3
venue_or_market_center,COMEX,8,10
venue_or_market_center,COMEX/CME Globex,29,29
venue_or_market_center,IFEU electronic market,1,1
venue_or_market_center,LME and COMEX,2,0
venue_or_market_center,NYMEX/CME Globex,8,8
venue_or_market_center,US futures exchange / CFTC complaint,3,3
