requirement_id,explicit_requirement,status,evidence,coverage_gap,next_action
R1,Use the named Board A markdown as the authoritative plan,achieved,"docs/plans/2026-05-10-actionable-regime-confidence-todo.md is the active board and this audit is designed for append-only registration","None for routing; Current Cursor was not edited","Append this audit to the same Board A markdown"
R2,Preserve multi-agent work and do not disturb in-progress sections,achieved,"Current slice used tail/status/process readback and append-only artifact creation","Concurrent AQ/Freqtrade processes remain active, so no heavy new run was started","Keep future writes append-only and re-read tail before each patch"
R3,Every MainRegimeV2 root reaches at least 95 percent confidence,partial,"regime_factor_consumer_map_v1.csv shows accepted_95 context factors for Bull 0.9797, Bear 0.9639, Sideways 0.9529, Crisis 0.9619","This is scoped context-factor evidence, not strict full-universe/full-cycle completion","Keep scoped evidence but continue full objective hardening"
R4,Direct Manipulation is handled separately with valid direct-event evidence,partial,"regime_factor_consumer_map_v1.csv shows accepted_95 scoped direct Manipulation at 0.967945","Remaining direct varieties and R6 source/control gates remain blocked; OHLCV proxies are not accepted","Acquire source-owned controls or explicit FLIP-control approval before R6 promotion"
R5,Validate each regime across other markets, timeframes, periods, and contexts,not_achieved,"Board A current cursor and latest sections repeatedly state cross-context full validation false and strict full objective false","Scoped consumer map includes accepted layers but explicitly says not full-cycle/full-species completion","Do not claim completion until per-root cross-context/full-cycle validation is audited and accepted"
R6,A and B both prove real Auto-Quant use,partial,"103404 hard gate recorded; 103512 provider/AQ runtime readback proves multiple AQ/Freqtrade roots settled","Latest provider/AQ evidence is non-promoting and does not close Board A acceptance","Continue only from provider-owned AQ evidence that can produce mature rooted observations"
R7,Provider matrix includes IBKR TVR YF Kraken Binance Bybit,partial,"103404 makes the six-provider matrix mandatory; 102018/102828 prove some provider rows and IBKR ad hoc probe behavior","Final promotable six-provider matrix is not complete; TVR/unready/default IBKR gates remain fail-closed in current evidence","Record all six rows in each future A/B evidence packet"
R8,Local data is not treated as primary authority,achieved_as_gate,"103404 hard gate says local data is cache/replay/provenance only","Some existing historical artifacts remain local/replay and therefore non-promoting","Keep local-only packets fail-closed unless tied to AQ/provider provenance"
R9,Run ordered chain AQ/provider -> Auto-Quant -> filter/Pre-Bayes -> BBN -> CatBoost/path-ranker -> execution tree,partial,"Board A cites prior runtime readbacks; 103057 and earlier sections show surfaces exercised","Current downstream evidence remains pass_neutralized, observe/fail_closed, matched_rows=0, or no mature rooted branch observations","Rerun the full chain only after source/control or selected-history gates unlock"
R10,Preserve rooted branch identity through downstream chain,partial,"103057 structural-feedback fix preserved the exact branch path across structural bundle/feedback/execution-candidate in a replayed state","Full workflow still fail-closed and selected-history/source-control gates remain unavailable","Use branch-preservation as runtime evidence only, not promotion"
R11,Source/control gates and canonical merge are satisfied,not_achieved,"Board A current cursor says source/control evidence acquired false, canonical merge false, source-label confidence 0/4, R5/R3 blocked","No owner-export/license/ticket provenance or accepted normal controls were inspected as complete","Obtain source-owned controls or explicit policy approval before canonical merge"
R12,Latest provider/AQ runtime roots promote Board A,not_achieved,"103512 assertions: accepted_rows_added=0, mature_rooted_branch_observations_added=0, downstream_promotion=false, strict_full_objective=false","Provider/AQ roots are zero-trade, diagnostic, immature, or unprofitable","Do not repeat same shapes; require mature profitable rooted observations before downstream promotion"
R13,It is safe to call update_goal complete,not_achieved,"103512 and Board A sections all state update_goal=false","Objective remains blocked and incomplete","Do not call update_goal"

