requirement,status,evidence
board_current_cursor_readback,pass,"Board state remains blocked and Current Cursor remains 20260512T010127+0800-codex-r6-owner-route-entitlement-readback-v1."
multi_agent_safety,pass,"Artifact restoration is additive; runtime code, shared intake, and R3/R5/R6 roots are not mutated."
real_autoquant_readback,partial,"013904 parsed latest Tomac cache, but 9 trades, 0.4444444444444444 winrate, and -0.058056 profit_total are non-promoting."
provider_context_enumerated,partial,"yfinance and Kraken CLI usable in recent readbacks; IBKR, TradingViewRemix, and Kraken public unhealthy or dependency-blocked."
every_active_regime_95_confidence,blocked,"Accepted labels remain empty; Bull and Sideways are only field-complete leads; Bear and Crisis remain unaccepted."
source_owned_labels_accepted,blocked,"Accepted rows added is 0 and source-label equivalence is confidence-blocked."
other_market_cycle_cross_timeframe_validation,blocked,"Source-label equivalence is daily-only; source-native cross-timeframe evidence is absent."
r6_owner_controls_or_flip_approval,blocked,"R6 owner-export root is absent, source-owned normal controls are 0, and explicit FLIP approval is false."
r3_native_subhour_source_input,blocked,"/tmp/ict-engine-native-subhour-source-label-intake is absent."
r5_recency_extension_source_input,blocked,"/tmp/ict-engine-source-panel-recency-extension is absent."
canonical_merge,blocked,"Canonical merge remains false because verifier-native source/control roots are absent."
downstream_chain_promotion_rerun,blocked,"Provider/Auto-Quant/filter/Pre-Bayes/BBN/CatBoost/path-ranking/execution-tree promotion rerun is disallowed."
strict_full_objective_complete,blocked,"Every-regime 95 percent, cross-market/cross-cycle validation, R6/R3/R5 inputs, and downstream promotion are incomplete."
update_goal_allowed,blocked,"update_goal remains false; strict objective is not complete."
