provider,query,rank,title,url,required_hit,broad_context_hit,mainregimev2_hit,source_panel_hit,native_subhour_hit,crisis_hit,oystacher_hit,matched_control_hit,owner_export_hit,recency_hint,excerpt
zenodo,stock market regimes 2000 2026,1,SPECIFIC FEATURES OF THE PROCESSES OF CHANGE IN STOCK QUOTES IN THE REGION,https://zenodo.org/records/19532833,False,True,False,False,False,False,False,False,False,True,"SPECIFIC FEATURES OF THE PROCESSES OF CHANGE IN STOCK QUOTES IN THE REGION 19532833 SPECIFIC FEATURES OF THE PROCESSES OF CHANGE IN STOCK QUOTES IN THE REGION <p>The article examines the specific features of the processes of change in stock quotes on the Tashkent Stock Exchange (Republican Stock Exchange &ldquo;Toshkent&rdquo; &ndash; RSE &ldquo;Toshkent&rdquo;), the primary securities trading platform in Uzbekistan. As a frontier market undergoing economic liberalization, Uzbekistan&rsquo;s sto"
zenodo,stock market regimes 2000 2026,2,Do the Macroeconomic Forces Affect Stock Market Development? An Empirical Investigation from G-10 Economies,https://zenodo.org/records/7997952,False,True,False,False,False,False,False,False,False,True,Do the Macroeconomic Forces Affect Stock Market Development? An Empirical Investigation from G-10 Economies 7997952 Do the Macroeconomic Forces Affect Stock Market Development? An Empirical Investigation from G-10 Economies <p>The theoretical and empirical literature has demonstrated the critical and significant role of the stock market in developing the economy. The relationship between stock market development (SMD) and macroeconomic variables is examined in the current study using panel data 
zenodo,stock market regimes 2000 2026,3,The impact of idiosyncratic volatility on the investors' herd behavior in the Chinese Stock Market,https://zenodo.org/records/7250179,False,True,False,False,False,True,False,False,False,True,"The impact of idiosyncratic volatility on the investors' herd behavior in the Chinese Stock Market 7250179 The impact of idiosyncratic volatility on the investors' herd behavior in the Chinese Stock Market <p>This study provides a comprehensive study of herding behavior in the Chinese Stock Market using the cross-sectional absolute deviation of returns method (CSAD) proposed by (Chang et al., 2000), which captures the non-linearity relationship between the dispersion of individual returns and ma"
zenodo,stock market regimes 2000 2026,4,"NEW EVIDENCE ON SHARE PRICES AND THE  STOCK MARKET TRENDS: A CASE OF SELECTED US FIRMS,  THE S&P 500 AND THE DOW JONES",https://zenodo.org/records/816289,False,True,False,False,False,True,False,False,False,True,"NEW EVIDENCE ON SHARE PRICES AND THE STOCK MARKET TRENDS: A CASE OF SELECTED US FIRMS, THE S&P 500 AND THE DOW JONES 816289 NEW EVIDENCE ON SHARE PRICES AND THE STOCK MARKET TRENDS: A CASE OF SELECTED US FIRMS, THE S&P 500 AND THE DOW JONES <p>Analysis of share prices and stock market indexes has actually attracted the attention of financial analysts, capital market participants and researchers alike. This study is based on share price data on selected companies listed on the New York Stock Exch"
zenodo,stock market regimes 2000 2026,5,Descriptive analysis of medium and long-run performance of IPOs: case of firms funded by private equity in Morocco,https://zenodo.org/records/4768108,False,True,False,False,False,False,False,False,False,True,"Descriptive analysis of medium and long-run performance of IPOs: case of firms funded by private equity in Morocco 4768108 Descriptive analysis of medium and long-run performance of IPOs: case of firms funded by private equity in Morocco <p>Private equity is a relatively recent activity in Morocco, which is really developed since the 2000s to establish itself today as a source of financing for SMEs, and the IPO is one methods of exiting capital investors, it is therefore interesting to study the"
zenodo,stock market regimes 2000 2026,6,The Impact of Monetary Policy on Iraq Stock Exchange,https://zenodo.org/records/17759260,False,True,False,False,False,False,False,False,False,True,"The Impact of Monetary Policy on Iraq Stock Exchange 17759260 The Impact of Monetary Policy on Iraq Stock Exchange <p><a>Abstract :</a></p> <p>Previous research indicates that the stock market plays an important role in transmitting monetary policy shocks to the real economy. Building on this premise, this study explores the relationship between the nominal and real returns of the Iraq Stock Exchange (ISX) general index and monetary policy in Iraq by employing a specialised structural identifica"
zenodo,stock market regimes 2000 2026,7,Stock market indicators' role in forecasting of economic crisis,https://zenodo.org/records/2354567,False,True,False,False,False,True,False,False,False,True,"Stock market indicators' role in forecasting of economic crisis 2354567 Stock market indicators' role in forecasting of economic crisis <p>The growth of the frequency and scale of economic crises actualizes the problems of their research and forecasting to minimize the negative effects and optimize the process of economic decision-making. Classical macroeconomic indicators can only state the fact of the crisis appearance with a great lag, which virtually prevents their use to obtain operational "
zenodo,stock market regimes 2000 2026,8,Original Research Article Stock Index Futures in China; Hushen 300 Index,https://zenodo.org/records/3402005,False,True,False,False,False,False,False,False,False,True,"Original Research Article Stock Index Futures in China; Hushen 300 Index 3402005 Original Research Article Stock Index Futures in China; Hushen 300 Index <p>This paper examines the arbitrage-induced in regimes (upper, inner and lower regime) price dynamics between Hushen 300 index spot and futures markets using a threshold cointegration analysis and Error Correction Model (ECM) on china stock market index.. The studies are carried out from 426 observations with samples selected from 04/16/2010 t"
zenodo,stock market regimes 2000 2026,9,"IMPACT OF OIL PRICE, EXCHANGE RATE, AND INTEREST RATE ON STOCK MARKET OF PAKISTAN",https://zenodo.org/records/7318015,False,True,False,False,False,False,False,False,False,True,"IMPACT OF OIL PRICE, EXCHANGE RATE, AND INTEREST RATE ON STOCK MARKET OF PAKISTAN 7318015 IMPACT OF OIL PRICE, EXCHANGE RATE, AND INTEREST RATE ON STOCK MARKET OF PAKISTAN <p>Stock market is important for the development of a country since it provides liquidity for the production process. Exchange rate and oil prices are the most vital economic variables that affect the stock market of an economy besides the interest rate which evidently have significant impact on stock returns. This study exami"
zenodo,stock market regimes 2000 2026,10,Stock Market Development & Economic Growth in Pakistan (The Causal Linkage),https://zenodo.org/records/3534705,False,True,False,False,False,False,False,False,False,True,"Stock Market Development & Economic Growth in Pakistan (The Causal Linkage) 3534705 Stock Market Development & Economic Growth in Pakistan (The Causal Linkage) <p>The trend of financial globalization has proved to be an improvement tool of measurement for each nation to restructure the domestic stock market for value exchanges, endorse economic growth by forming a compatibility of domestic exchange with international standards and compare the state of the economy to worldwide nations for how to "
