surface,query,id,title,url,updated_at,score,disposition,ready_native_subhour_source_labels
kaggle,5m market regime,thisathdamiru/bybit-multi-crypto-historical-data-2020-2026,Bybit Full-Lifetime Multi-Crypto Historical Data,https://www.kaggle.com/datasets/thisathdamiru/bybit-multi-crypto-historical-data-2020-2026,2026-05-09 10:41:59.257000,116,blocked_raw_provider_panel_no_source_owned_regime_labels,False
kaggle,intraday regime label,toocool69/synthetic-stock-price-data-1m-instances,Synthetic Stock Price Data (1M instances),https://www.kaggle.com/datasets/toocool69/synthetic-stock-price-data-1m-instances,2025-11-25 16:56:47,9,blocked_synthetic_panel_not_source_owned_labels,False
huggingface,multi timeframe market regimes,akashkumar5/Multi_Timeframe_Market_Regimes_HMM6_BTCUSD,akashkumar5/Multi_Timeframe_Market_Regimes_HMM6_BTCUSD,https://huggingface.co/datasets/akashkumar5/Multi_Timeframe_Market_Regimes_HMM6_BTCUSD,2025-12-13T08:25:14.000Z,10,blocked_generated_or_model_derived_regime_labels,False
github,"""multi timeframe market regimes""",akash-kumar5/CryptoMarket_Regime_Classifier,"CryptoMarket Regime Classifier is a machine learning framework that detects market regimes (Trend, Range, Squeeze, etc.) in crypto markets using multi-timeframe data and Hidden Markov Models. The project provides plug-and-play labeled datasets and trained models (HMM + LSTM) for downstream strategy development, position sizing, and risk management.",https://github.com/akash-kumar5/CryptoMarket_Regime_Classifier,2026-05-11T05:31:54Z,36,blocked_generated_or_model_derived_regime_labels,False
github,"""multi timeframe market regimes""",alfredang/hmm-ai-trader,"📈 Bitcoin trading system using Hidden Markov Models for market regime detection. Real-time signals, multi-timeframe analysis & interactive regime visualization.",https://github.com/alfredang/hmm-ai-trader,2026-03-27T01:03:11Z,4,blocked_generated_or_model_derived_regime_labels,False
github,"""multi timeframe market regimes""",rishitmavani/trading-strategy,Adaptive Trading Strategy with Market Regime Detection and Multi-Timeframe Analysis,https://github.com/rishitmavani/trading-strategy,2026-02-11T09:37:57Z,0,blocked_code_or_signal_surface_not_source_owned_labels,False
github,"""multi timeframe market regimes""",EmreSto/signal-or-noise,"Do multi-timeframe regime indicators capture market structure, or just reshape noise into patterns?",https://github.com/EmreSto/signal-or-noise,2026-04-09T18:58:17Z,0,blocked_code_or_signal_surface_not_source_owned_labels,False
github,"""multi timeframe market regimes""",kiattisakph/crypto-scalp-bot,"Binance Futures scalping bot — dynamic watchlist, multi-timeframe signals, ATR-based TP/SL, market regime detection",https://github.com/kiattisakph/crypto-scalp-bot,2026-05-11T06:44:12Z,1,blocked_code_or_signal_surface_not_source_owned_labels,False
github,"""multi timeframe market regimes""",codestreamhubio/crypto-regime-insight-engine,A machine learning pipeline that detects and predicts crypto market regimes using multi-timeframe OHLCV data and a two-stage ML approach (HMM → LSTM) for smarter trading strategy adaptation.,https://github.com/codestreamhubio/crypto-regime-insight-engine,2026-02-06T17:18:01Z,0,blocked_generated_or_model_derived_regime_labels,False
github,"""multi timeframe market regimes""",alpyengine/ovtlier-plan-a-system,"TradingView indicators implementing Christopher Uhl's Plan A swing methodology — broad market regime validation (SPY + QQQ), multi-condition pullback scoring, and ATR-based stop loss on Daily/Weekly timeframes.",https://github.com/alpyengine/ovtlier-plan-a-system,2026-05-01T10:07:49Z,0,blocked_code_or_signal_surface_not_source_owned_labels,False
github,"""multi timeframe market regimes""",MWaleedFakhr-Coventry-TKH/Forex-Slope-Prediction-and-Regime-Change-Detection,1- 12 aligned pairs of Forex Data used in the paper: EWMA-Enhanced Ensemble Learning for Multi-Timeframe Forex Prediction and Market Regime Detection. 2- The Python notebooks used to produce the results. 3- Extra information that were not available in the paper,https://github.com/MWaleedFakhr-Coventry-TKH/Forex-Slope-Prediction-and-Regime-Change-Detection,2025-12-21T12:58:22Z,0,blocked_research_code_or_prediction_target_not_owner_approved_labels,False
