axis,bucket,required_valid_normal_control_support,valid_normal_control_support_observed,route_id,route_coverage_status,decision,caveat
contract_family,energy,73,0,cme_datamine_market_depth_fixfast,candidate_route_covers_cell_access_and_export_required,source_route_identified_controls_not_acquired,Need licensed CME DataMine/market-depth export and owner-approved normal window selection.
contract_family,equity_index,73,0,cme_datamine_market_depth_fixfast,candidate_route_covers_cell_access_and_export_required,source_route_identified_controls_not_acquired,Need licensed CME DataMine/market-depth export and owner-approved normal window selection.
contract_family,metals,73,0,cme_datamine_market_depth_fixfast,candidate_route_covers_cell_access_and_export_required,source_route_identified_controls_not_acquired,Need licensed CME DataMine/market-depth export and owner-approved normal window selection.
contract_family,volatility_index,73,0,cboe_cfe_depth_of_book_market_data,candidate_route_covers_cell_access_and_detail_confirmation_required,source_route_identified_controls_not_acquired,Need CFE depth/order-book export or explicit confirmation DataShop detail is enough.
venue_exact,CFE/CBOE Futures Exchange,73,0,cboe_cfe_depth_of_book_market_data,candidate_route_covers_cell_access_and_detail_confirmation_required,source_route_identified_controls_not_acquired,Need CFE depth/order-book export or explicit confirmation DataShop detail is enough.
venue_exact,CME Globex,73,0,cme_datamine_market_depth_fixfast,candidate_route_covers_cell_access_and_export_required,source_route_identified_controls_not_acquired,Need licensed CME DataMine/market-depth export and owner-approved normal window selection.
venue_exact,COMEX/CME Globex,73,0,cme_datamine_market_depth_fixfast,candidate_route_covers_cell_access_and_export_required,source_route_identified_controls_not_acquired,Need licensed CME DataMine/market-depth export and owner-approved normal window selection.
venue_exact,NYMEX/CME Globex,73,0,cme_datamine_market_depth_fixfast,candidate_route_covers_cell_access_and_export_required,source_route_identified_controls_not_acquired,Need licensed CME DataMine/market-depth export and owner-approved normal window selection.
symbol_exact,Crude Oil futures,73,0,cme_datamine_market_depth_fixfast,candidate_route_covers_cell_access_and_export_required,source_route_identified_controls_not_acquired,Need licensed CME DataMine/market-depth export and owner-approved normal window selection.
symbol_exact,E-mini S&P 500 futures,73,0,cme_datamine_market_depth_fixfast,candidate_route_covers_cell_access_and_export_required,source_route_identified_controls_not_acquired,Need licensed CME DataMine/market-depth export and owner-approved normal window selection.
symbol_exact,High-Grade Copper futures,73,0,cme_datamine_market_depth_fixfast,candidate_route_covers_cell_access_and_export_required,source_route_identified_controls_not_acquired,Need licensed CME DataMine/market-depth export and owner-approved normal window selection.
symbol_exact,Natural Gas futures,73,0,cme_datamine_market_depth_fixfast,candidate_route_covers_cell_access_and_export_required,source_route_identified_controls_not_acquired,Need licensed CME DataMine/market-depth export and owner-approved normal window selection.
symbol_exact,VIX futures,73,0,cboe_cfe_depth_of_book_market_data,candidate_route_covers_cell_access_and_detail_confirmation_required,source_route_identified_controls_not_acquired,Need CFE depth/order-book export or explicit confirmation DataShop detail is enough.
chronological_year,2011,73,0,mixed_cme_cboe_by_contract_dates,candidate_routes_cover_year_but_2011_2013_cme_cloud_depth_may_be_limited,source_route_identified_controls_not_acquired,"Year cells require both CME and CFE exports; CME cloud depth starts 2014, DataMine product start dates must be confirmed for 2011-2013."
chronological_year,2012,73,0,mixed_cme_cboe_by_contract_dates,candidate_routes_cover_year_but_2011_2013_cme_cloud_depth_may_be_limited,source_route_identified_controls_not_acquired,"Year cells require both CME and CFE exports; CME cloud depth starts 2014, DataMine product start dates must be confirmed for 2011-2013."
chronological_year,2013,73,0,mixed_cme_cboe_by_contract_dates,candidate_routes_cover_year_but_2011_2013_cme_cloud_depth_may_be_limited,source_route_identified_controls_not_acquired,"Year cells require both CME and CFE exports; CME cloud depth starts 2014, DataMine product start dates must be confirmed for 2011-2013."
chronological_year,2014,73,0,mixed_cme_cboe_by_contract_dates,candidate_routes_cover_year_but_2011_2013_cme_cloud_depth_may_be_limited,source_route_identified_controls_not_acquired,"Year cells require both CME and CFE exports; CME cloud depth starts 2014, DataMine product start dates must be confirmed for 2011-2013."
