asset_id,label,asset_class,status,usable_as,rule_or_condition,calibration_wilson95_lcb,test_wilson95_lcb,min_split_wilson95_lcb,calibration_support,test_support,min_split_support,validation_scope,source_run_root,primary_artifact,ingestion_state,next_action
bull_sourcebacked_drawdown_volatility_v1,Bull,source_backed_parent_root,V2_accepted_95_scope_limited,board_a_regime_gate,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,,2202,3125,,index+single_stock;1d+1w,docs/experiments/actionable-regime-confidence/runs/20260511T035045-codex-kaggle-bull-coverage-buffer-gate,docs/experiments/actionable-regime-confidence/runs/20260511T035045-codex-kaggle-bull-coverage-buffer-gate/kaggle-bull-gate/kaggle_bull_coverage_buffer_gate_report.json,recovered_not_candidate_pack,wire into Board A regime-gate artifact surface; do not treat as Board B profit factor
bear_sourcebacked_drawdown_return_ratio_v1,Bear,source_backed_parent_root,V2_accepted_95_scope_limited,board_a_regime_gate,bear_drawdown_ratio >= 1 AND bear_return_ratio >= 1,0.993968,0.992722,,633,524,,crypto+equity_etf;1d+1w,docs/experiments/actionable-regime-confidence/runs/20260511T041923-codex-yahoo-sourcebacked-parent-root-gate,docs/experiments/actionable-regime-confidence/runs/20260511T041923-codex-yahoo-sourcebacked-parent-root-gate/yahoo-parent-root-gate/yahoo_sourcebacked_parent_root_gate_report.json,recovered_not_candidate_pack,wire into Board A regime-gate artifact surface; do not treat as Board B profit factor
sideways_sourcebacked_abs_return_range_v1,Sideways,source_backed_parent_root,V2_accepted_95_scope_limited,board_a_regime_gate,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.988647,0.995568,,495,863,,crypto+equity_etf;1d+1w,docs/experiments/actionable-regime-confidence/runs/20260511T041923-codex-yahoo-sourcebacked-parent-root-gate,docs/experiments/actionable-regime-confidence/runs/20260511T041923-codex-yahoo-sourcebacked-parent-root-gate/yahoo-parent-root-gate/yahoo_sourcebacked_parent_root_gate_report.json,recovered_not_candidate_pack,wire into Board A regime-gate artifact surface; do not treat as Board B profit factor
crisis_range_ratio_intraday_v1,Crisis,source_backed_parent_root,V2_accepted_95_scope_limited,board_a_regime_gate,range_ratio32_128 >= 1.43116959912,0.996248,0.995981,,1020,952,,"BTC-USD+ES=F+NQ+NQ=F+PF_XBTUSD+QQQ+SPY;15m+1h",docs/experiments/actionable-regime-confidence/runs/20260510T235220-codex-broader-root-v2-probe,docs/experiments/actionable-regime-confidence/runs/20260510T235220-codex-broader-root-v2-probe/root-v2-broader/main_regime_v2_broader_root_calibration_report.json,recovered_not_candidate_pack,wire into Board A regime-gate artifact surface; do not use to complete Manipulation
manipulation_telegram_direct_event_v1,Manipulation,direct_event_overlay,direct_event_95_provenance_full_coverage_blocked,direct_event_overlay,classified_telegram_coin_pump_event_present == 1,0.999735,0.999701,,14516,12834,,"365 test coins;167 test channels;chronological 2017-05-18..2018-07-23",docs/experiments/actionable-regime-confidence/runs/20260511T045102-codex-mehrnoom-telegram-direct-manipulation-gate,docs/experiments/actionable-regime-confidence/runs/20260511T045102-codex-mehrnoom-telegram-direct-manipulation-gate/direct-event-gate/mehrnoom_telegram_direct_manipulation_gate_report.json,recovered_not_candidate_pack,preserve as suppression/abstain/cooldown overlay; needs direct order-flow/lifecycle expansion before full coverage
same_source_timeframe_1mo_sideways_v1,Sideways,same_source_timeframe_gate,accepted_95_source_consensus_axiswise_partial,board_a_regime_gate,label_share >= 0.95 monthly Sideways consensus,0.959409,0.952936,0.952936,,,50,same-source monthly axiswise;heldout ticker LCB 0.966575,docs/plans/2026-05-10-actionable-regime-confidence-todo.md,docs/plans/2026-05-10-actionable-regime-confidence-todo.md:924,recovered_from_log_only,extract compact packet or locate original run root before promotion
weekly_bull_source_consensus_v1,Bull,same_source_timeframe_gate,accepted_weekly_95_gate,board_a_regime_gate,weekly source consensus Bull,0.983916,0.967122,0.967122,,,50,1w;heldout ticker LCB 0.985817,docs/plans/2026-05-10-actionable-regime-confidence-todo.md,docs/plans/2026-05-10-actionable-regime-confidence-todo.md:1001,recovered_from_log_only,extract compact packet or locate original run root before promotion
weekly_sideways_source_consensus_v1,Sideways,same_source_timeframe_gate,accepted_weekly_95_gate,board_a_regime_gate,weekly source consensus Sideways,0.977113,0.955765,0.955765,,,50,1w;heldout ticker LCB 0.971387,docs/plans/2026-05-10-actionable-regime-confidence-todo.md,docs/plans/2026-05-10-actionable-regime-confidence-todo.md:1001,recovered_from_log_only,extract compact packet or locate original run root before promotion
stock_market_regime_bull_v1,Bull,scoped_stock_market_regime_parent_root,accepted_95_scoped_stock_market_regimes_parent_roots_full_matrix_still_blocked,board_a_regime_gate,range_pos_252 >= 0.97,0.980946,0.979723,0.979723,,,,stock market regimes;heldout ticker LCB 0.983693,docs/plans/2026-05-10-actionable-regime-confidence-todo.md,docs/plans/2026-05-10-actionable-regime-confidence-todo.md:1083,recovered_from_log_only,locate run packet and decide whether it supersedes or supports sourcebacked Bull
stock_market_regime_bear_v1,Bear,scoped_stock_market_regime_parent_root,accepted_95_scoped_stock_market_regimes_parent_roots_full_matrix_still_blocked,board_a_regime_gate,ret_sum_20 <= -0.0477408661 AND range_pos_252_date_rank <= 0.05555555556 AND range_pos_252 <= 0.102802065,0.974782,0.963920,0.963920,,,,stock market regimes;heldout ticker LCB 0.981443,docs/plans/2026-05-10-actionable-regime-confidence-todo.md,docs/plans/2026-05-10-actionable-regime-confidence-todo.md:1084,recovered_from_log_only,locate run packet and decide whether it supersedes or supports sourcebacked Bear
