## Current Cursor

| Field | Current Value | Update Rule |
|---|---|---|
| board_state | blocked | `active`, `blocked`, `accepted_95`, `accepted_99`, `abstain` |
| last_loop_id | 20260512T010127+0800-codex-r6-owner-route-entitlement-readback-v1 | Use timestamp or run id |
| active_market_set | R6 owner-route entitlement readback after public Exhibit A materialization and outbound request packaging: `5182` source-marked `SPOOF` rows remain isolated positive candidates, `1553` same-exhibit `FLIP` rows remain rejected as normal controls without explicit approval, public/source-owned normal controls remain `0`, candidate official owner routes cover `17/17` required cells, CME Market Depth exchange-level date fit is improved for the 2011-2013 CME/NYMEX/COMEX window, and Cboe/CFE VIX DataShop trades/quotes date fit is improved while full historical depth/order-lifecycle remains a custom/support export blocker. | Max two markets per loop |
| active_timeframes | Event/order-lifecycle rows only for R6; no OHLCV proxy timeframe promotion. The materialized public row-level source still contains only `SPOOF`/`FLIP` sides, not independent normal/non-manipulation rows. No full downstream rerun is allowed until RECAP/PACER provenance plus FLIP-control approval, or source-owned normal controls, then canonical/owner-export-root merge happens under a shared lock. | Max two timeframes per loop |
| current_run_root | `docs/experiments/actionable-regime-confidence/runs/20260512T010127-codex-r6-owner-route-entitlement-readback-v1` | Use `/tmp/...` or `/private/tmp/...` |
| provider_status | Latest provider/Auto-Quant read-only refresh `005248` remains non-promoting with `entry_model:2/2 ready`, `live_runtime:1/3 ready`, `local_runtime:1/2 ready`, `market_data:1/7 ready`; yfinance and Kraken CLI are usable, IBKR/TradingView/Kraken public remain non-promoting/dependency-blocked; Auto-Quant status is `dependency_ready_seed_required`, healthy/data_ready true. Latest R6 entitlement readback found no local `databento` CLI, no `dbn` CLI, no Python `databento`, no Python `pyarrow`, no Databento API key env, no complete owner-export package, and only local OHLCV bar data rather than source-owned normal controls. Rerun provider promotion plus pre-Bayes/BBN/CatBoost/workflow/execution-tree only after explicit source/control-policy approval or source-owned normal controls and canonical merge. | Record IBKR, TradingView MCP, yfinance, Kraken, local cache, Auto-Quant cache |
| candidate_regime | DirectOverlay::Manipulation / R6 Oystacher Exhibit A public court-order-lifecycle rows; `SPOOF` positives are preserved as positive candidates, but same-exhibit `FLIP` rows are rejected as normal controls until explicit control-policy approval or source-owned normal controls arrive. | Regime label plus horizon |
| confidence_lane | `blocked` for strict full objective; prior scoped active-lane `95` evidence remains preserved. | `95`, `99`, or `abstain` |
| accepted_gate | r6_owner_route_entitlement_readback_v1=`route_fit_improved_controls_not_acquired_no_merge`; r6_owner_export_outbound_request_messages_v1=`outbound_messages_ready_not_sent_controls_not_acquired`; r6_official_route_date_fit_check_v1=`official_owner_routes_confirmed_controls_not_acquired_cfe_depth_date_gap`; r6_oystacher_external_control_source_scan_v1=`external_routes_identified_no_verifier_ready_source_owned_normal_controls`; r6_oystacher_public_normal_control_source_probe_v1=`no_public_source_owned_normal_controls_found`; r6_oystacher_owner_control_source_route_screen_v1=`official_source_routes_identified_controls_not_acquired`; r6_local_control_applicability_audit_v1=`local_candidate_controls_insufficient_no_approval_no_merge`; r6_oystacher_independent_normal_control_screen_v1=`no_independent_owner_approved_normal_controls_found`; r6_oystacher_local_control_path_disposition_v1=`no_local_path_satisfies_source_owned_normal_control_contract`; current_objective_reconciliation_after_v71_v1=`blocked_controls_absent_non_r6_absent_no_merge`; current_goal_completion_audit_after_v66_v1=`not_complete_technical_preflight_pass_policy_controls_canonical_downstream_r5_r3_blocked`; v71_provider_autoquant_readonly_refresh_v1=`readiness_refreshed_no_promotion_source_control_blocked`; v65_provider_autoquant_readonly_refresh_v1=`readiness_refreshed_no_promotion_policy_blocked`; r6_oystacher_control_contract_request_v1=`control_request_ready_no_controls_or_approval`; full_objective_gate=`none_for_MainRegimeV2_expanded_full_universe_full_cycle_goal` | Write the exact accepted gate or `none` |
| blocker | Strict objective remains blocked: public probes found `0` source-owned normal controls, official source-owner routes are identified but controls are not acquired, CME exchange-level date fit is improved but licensed verifier-native exports/provenance are still absent, Cboe/CFE VIX trades/quotes date fit is improved but historical full-depth/order-lifecycle still needs DataShop/support confirmation, all `17` required Oystacher control cells still have `0` valid source-owned normal controls, same-exhibit `FLIP` rows are not approved as controls, canonical live intake was not mutated, post-V71 provider/Auto-Quant ran read-only without promotion, pre-Bayes/BBN/CatBoost/execution-tree promotion rerun was not allowed, source-label confidence is still `0/4`, R5 post-`2026-01-30` source-panel rows are absent, and R3 native-subhour root remains absent. | Single blocking reason |
| next_action | Send or otherwise satisfy the CME and Cboe/CFE owner-export messages, preserving ticket/export/license identifiers in provenance; obtain licensed CME Market Depth/Market by Order or equivalent normal-control exports plus Cboe/CFE VIX historical trades/quotes or depth/order-lifecycle export, or explicitly approve the same-exhibit `FLIP`-as-control exception; only then copy verifier-native files into `/tmp/ict-engine-board-a-r6-owner-export-v1` or canonical live root under a shared lock and rerun direct verifier, split calibration, provider, Auto-Quant, pre-Bayes/BBN, CatBoost/path-ranking, and execution-tree readback while keeping R5 and R3 blocked. | Keep exactly one next action |

## 2026-05-12 R6 Oystacher Exhibit A Source Policy Review v1

