slot_id,provider,instrument,timeframe,root,source_id,source_native_scope,crosswalk_layer,crosswalk_decision,acceptance_scope,notes
source-window-crosswalk-v1-0001,yfinance,^GSPC,1m,Bull,yardeni_sp500_bull_bear_tables_2024,S&P 500 dated Bull/Bear day windows,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,same_underlying; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0002,yfinance,^GSPC,1m,Bear,yardeni_sp500_bull_bear_tables_2024,S&P 500 dated Bull/Bear day windows,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,same_underlying; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0003,yfinance,^GSPC,1m,Crisis,nber_business_cycle_dates,US macro/business-cycle contraction months,macro_crisis_to_gspc_time_projection,approved_low_risk_macro_stress_projection,source_label_slot_attached_not_confidence_gate,same_underlying; NBER contraction month membership projected as Crisis context; no trade usability claimed.
source-window-crosswalk-v1-0004,yfinance,^GSPC,5m,Bull,yardeni_sp500_bull_bear_tables_2024,S&P 500 dated Bull/Bear day windows,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,same_underlying; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0005,yfinance,^GSPC,5m,Bear,yardeni_sp500_bull_bear_tables_2024,S&P 500 dated Bull/Bear day windows,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,same_underlying; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0006,yfinance,^GSPC,5m,Crisis,nber_business_cycle_dates,US macro/business-cycle contraction months,macro_crisis_to_gspc_time_projection,approved_low_risk_macro_stress_projection,source_label_slot_attached_not_confidence_gate,same_underlying; NBER contraction month membership projected as Crisis context; no trade usability claimed.
source-window-crosswalk-v1-0007,yfinance,^GSPC,15m,Bull,yardeni_sp500_bull_bear_tables_2024,S&P 500 dated Bull/Bear day windows,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,same_underlying; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0008,yfinance,^GSPC,15m,Bear,yardeni_sp500_bull_bear_tables_2024,S&P 500 dated Bull/Bear day windows,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,same_underlying; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0009,yfinance,^GSPC,15m,Crisis,nber_business_cycle_dates,US macro/business-cycle contraction months,macro_crisis_to_gspc_time_projection,approved_low_risk_macro_stress_projection,source_label_slot_attached_not_confidence_gate,same_underlying; NBER contraction month membership projected as Crisis context; no trade usability claimed.
source-window-crosswalk-v1-0010,yfinance,^GSPC,30m,Bull,yardeni_sp500_bull_bear_tables_2024,S&P 500 dated Bull/Bear day windows,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,same_underlying; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0011,yfinance,^GSPC,30m,Bear,yardeni_sp500_bull_bear_tables_2024,S&P 500 dated Bull/Bear day windows,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,same_underlying; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0012,yfinance,^GSPC,30m,Crisis,nber_business_cycle_dates,US macro/business-cycle contraction months,macro_crisis_to_gspc_time_projection,approved_low_risk_macro_stress_projection,source_label_slot_attached_not_confidence_gate,same_underlying; NBER contraction month membership projected as Crisis context; no trade usability claimed.
source-window-crosswalk-v1-0013,yfinance,^GSPC,1h,Bull,yardeni_sp500_bull_bear_tables_2024,S&P 500 dated Bull/Bear day windows,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,same_underlying; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0014,yfinance,^GSPC,1h,Bear,yardeni_sp500_bull_bear_tables_2024,S&P 500 dated Bull/Bear day windows,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,same_underlying; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0015,yfinance,^GSPC,1h,Crisis,nber_business_cycle_dates,US macro/business-cycle contraction months,macro_crisis_to_gspc_time_projection,approved_low_risk_macro_stress_projection,source_label_slot_attached_not_confidence_gate,same_underlying; NBER contraction month membership projected as Crisis context; no trade usability claimed.
source-window-crosswalk-v1-0016,yfinance,^GSPC,4h,Bull,yardeni_sp500_bull_bear_tables_2024,S&P 500 dated Bull/Bear day windows,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,same_underlying; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0017,yfinance,^GSPC,4h,Bear,yardeni_sp500_bull_bear_tables_2024,S&P 500 dated Bull/Bear day windows,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,same_underlying; calendar-date window membership projected to target bars; no trade usability claimed.
source-window-crosswalk-v1-0018,yfinance,^GSPC,4h,Crisis,nber_business_cycle_dates,US macro/business-cycle contraction months,macro_crisis_to_gspc_time_projection,approved_low_risk_macro_stress_projection,source_label_slot_attached_not_confidence_gate,same_underlying; NBER contraction month membership projected as Crisis context; no trade usability claimed.
source-window-crosswalk-v1-0019,yfinance,^GSPC,1mo,Bull,yardeni_sp500_bull_bear_tables_2024,S&P 500 dated Bull/Bear day windows,same_underlying_spx_to_gspc_time_projection,approved_low_risk_market_family_projection,source_label_slot_attached_not_confidence_gate,same_underlying; calendar-date window membership projected to target bars; no trade usability claimed.
