artifact_id,path,present,sha256
source_label_arrival_calibration,docs/experiments/actionable-regime-confidence/runs/20260512T011954-codex-source-label-equivalence-arrival-calibration-v1/source-label-equivalence-arrival-calibration/source_label_equivalence_arrival_calibration_v1.json,True,a12f1bb6b07f3a9a3422582be7a5a1b0c29552f428ee631c03f9231eb23cfb82
source_label_gap_decomposition,docs/experiments/actionable-regime-confidence/runs/20260512T011529-codex-source-label-confidence-gap-decomposition-v1/source-label-confidence-gap-decomposition-v1/source_label_confidence_gap_decomposition_v1.json,True,78bdbf43c6a29f737a922b2188648c4969ac618afef346fcbcb78efcb59e664e
source_label_candidate,docs/experiments/actionable-regime-confidence/runs/20260512T012231-codex-source-label-qualifying-condition-candidate-v1/source-label-qualifying-condition-candidate-v1/source_label_qualifying_condition_candidate_v1.json,True,7f3aa369f05a1929b28d807f1a8d22cdc4c073e07189d4747209eb6d220a5986
source_label_qualifying_probe,docs/experiments/actionable-regime-confidence/runs/20260512T012318-codex-source-label-high-confidence-qualifying-condition-probe-v1/source-label-high-confidence-qualifying-condition-probe-v1/source_label_high_confidence_qualifying_condition_probe_v1.json,True,181f8a5de3724d4562b7d77e3f74d7f6e9a9710db32ec3a898f6bc7f0d653cb4
source_label_failclosed_conditions,docs/experiments/actionable-regime-confidence/runs/20260512T012425-codex-source-label-qualifying-condition-failclosed-v1/source-label-qualifying-condition-failclosed-v1/source_label_qualifying_condition_failclosed_v1.json,False,
r3_target_check,docs/experiments/actionable-regime-confidence/runs/20260512T012000-codex-r3-target-cell-check-against-source-label-root-v1/r3-target-cell-check-against-source-label-root-v1/r3_target_cell_check_against_source_label_root_v1.json,True,0d1cf8fb578e8d50c4d26defa0696745bf6a7eb4a53f6d7dce5f4dd839efcc5f
r3_public_web_screen,docs/experiments/actionable-regime-confidence/runs/20260512T012139-codex-r3-native-subhour-public-web-source-screen-v1/r3-native-subhour-public-web-source-screen-v1/r3_native_subhour_public_web_source_screen_v1.json,True,84063f8a288937bd6f0fe5d052a302565aad1cab7d0651bb752f9db1bbd9af86
r5_recency_disambiguation,docs/experiments/actionable-regime-confidence/runs/20260512T012104-codex-r5-recency-provenance-date-disambiguation-v1/r5-recency-provenance-date-disambiguation-v1/r5_recency_provenance_date_disambiguation_v1.json,True,534faecc9d7d83287830d6954cf49c709158da535016ac3e58a2e0aa008b91a3
r6_access_route,docs/experiments/actionable-regime-confidence/runs/20260512T010212-codex-r6-owner-export-access-route-preflight-v1/r6-owner-export-access-route-preflight-v1/r6_owner_export_access_route_preflight_v1.json,True,835c945587d02f906adfea661f09806139bdc89e483210f141139acb202d1b92
r6_local_owner_scan,docs/experiments/actionable-regime-confidence/runs/20260512T011812-codex-local-owner-export-candidate-scan-v1/local-owner-export-candidate-scan-v1/local_owner_export_candidate_scan_v1.json,True,dfc98a7849edea4aa52ab60260cccdf8494dc7a247a6d411d77015340f1ae32d
provider_chain_readback,docs/experiments/actionable-regime-confidence/runs/20260511T212339-codex-post-cleanup-provider-chain-readback-v1/post-cleanup-provider-chain-readback/post_cleanup_provider_chain_readback_v1.md,True,7fcf347d0ea4f38698da59aba805ef5a3af9b00f519c44099131e1802e19a34c
