row_id,schema_version,recipe_id,variant_id,pair,target_market,source_anchor,strategy_name,strategy_mutation_id,auto_quant_run_id,symbol,trade_id,open_ts_ms,close_ts_ms,open_date,close_date,open_session_date,source_context_attachment_policy,parent_regime_root,parent_regime_confidence_floor,source_anchor_confidence,source_anchor_vix,bbn_pred_class,bbn_bull_score,iv_pct_rank_252,hv_pct_rank_252,vvix_pct_rank_252,vix_level,vix3m_level,vix_term_ratio,manipulation_overlay_state,sub_regime_tags,sub_sub_regime_or_profit_factor,profit_factor_family,profit_factor_leaf,regime_profit_branch_path,regime_profit_branch_path_version,trade_or_bar_horizon,allowed_action,suppression_rule,year_fold,profit_ratio_net,pnl,realized_outcome,exit_reason
1,board-b-vrp-v25-root-branch-rc-spa/v1,VRPCompressionV25RootBranch,v25b_deny_bull_score_0p6_0p8,NQ/USD,NQ=F/NQ_USD,^IXIC,VRPCompressionV25RootBranch,pandas-vrp-v25-root-aware-panel,20260511T190356+0800-codex-board-b-vrp-v25-root-branch-rc-spa-v1,VRP_PANEL_V25_190356,VRPCompressionV25RootBranch:NQ/USD:2020-12-30T13:15:00+00:00:1,1609334100000,1609338600000,2020-12-30T13:15:00+00:00,2020-12-30T14:30:00+00:00,2020-12-30,source_anchor_previous_session_context,Bull,0.9797225384,0.8,22.770000457763672,3,0.5456731921525242,0.21428571428571427,0.09126984126984126,0.38293650793650796,22.77,25.44,1.1172595520421609,not_consumed_no_direct_event_rows,TrendExpansion,VRPCompressionCarry,options_volatility_risk_premium,VRPCompressionV25RootBranch,Bull -> TrendExpansion -> VRPCompressionCarry -> VRPCompressionV25RootBranch,board-b-vrp-v25-root-branch-rc-spa/v1,15m_trade,long_carry_research_only_until_bull_branch_rc_spa_passes,deny_bbn_bull_score_0p6_0p8_and_suppress_if_branch_gate_fails,2020,-0.002233009708737854,-0.002233009708737854,loss,vrp_exit_or_regime_break
2,board-b-vrp-v25-root-branch-rc-spa/v1,VRPCompressionV25RootBranch,v25b_deny_bull_score_0p6_0p8,NQ/USD,NQ=F/NQ_USD,^IXIC,VRPCompressionV25RootBranch,pandas-vrp-v25-root-aware-panel,20260511T190356+0800-codex-board-b-vrp-v25-root-branch-rc-spa-v1,VRP_PANEL_V25_190356,VRPCompressionV25RootBranch:NQ/USD:2020-12-31T19:30:00+00:00:2,1609443000000,1609443900000,2020-12-31T19:30:00+00:00,2020-12-31T19:45:00+00:00,2020-12-31,source_anchor_previous_session_context,Bull,0.9797225384,0.8,22.75,3,0.5456731921525242,0.2261904761904762,0.09126984126984126,0.376984126984127,22.75,25.28,1.1112087912087913,not_consumed_no_direct_event_rows,TrendExpansion,VRPCompressionCarry,options_volatility_risk_premium,VRPCompressionV25RootBranch,Bull -> TrendExpansion -> VRPCompressionCarry -> VRPCompressionV25RootBranch,board-b-vrp-v25-root-branch-rc-spa/v1,15m_trade,long_carry_research_only_until_bull_branch_rc_spa_passes,deny_bbn_bull_score_0p6_0p8_and_suppress_if_branch_gate_fails,2020,-0.00021445839507139297,-0.00021445839507139297,loss,vrp_exit_or_regime_break
3,board-b-vrp-v25-root-branch-rc-spa/v1,VRPCompressionV25RootBranch,v25b_deny_bull_score_0p6_0p8,NQ/USD,NQ=F/NQ_USD,^IXIC,VRPCompressionV25RootBranch,pandas-vrp-v25-root-aware-panel,20260511T190356+0800-codex-board-b-vrp-v25-root-branch-rc-spa-v1,VRP_PANEL_V25_190356,VRPCompressionV25RootBranch:NQ/USD:2020-12-31T20:00:00+00:00:3,1609444800000,1609445700000,2020-12-31T20:00:00+00:00,2020-12-31T20:15:00+00:00,2020-12-31,source_anchor_previous_session_context,Bull,0.9797225384,0.8,22.75,3,0.5456731921525242,0.2261904761904762,0.09126984126984126,0.376984126984127,22.75,25.28,1.1112087912087913,not_consumed_no_direct_event_rows,TrendExpansion,VRPCompressionCarry,options_volatility_risk_premium,VRPCompressionV25RootBranch,Bull -> TrendExpansion -> VRPCompressionCarry -> VRPCompressionV25RootBranch,board-b-vrp-v25-root-branch-rc-spa/v1,15m_trade,long_carry_research_only_until_bull_branch_rc_spa_passes,deny_bbn_bull_score_0p6_0p8_and_suppress_if_branch_gate_fails,2020,-0.0010129541248661278,-0.0010129541248661278,loss,vrp_exit_or_regime_break
4,board-b-vrp-v25-root-branch-rc-spa/v1,VRPCompressionV25RootBranch,v25b_deny_bull_score_0p6_0p8,NQ/USD,NQ=F/NQ_USD,^IXIC,VRPCompressionV25RootBranch,pandas-vrp-v25-root-aware-panel,20260511T190356+0800-codex-board-b-vrp-v25-root-branch-rc-spa-v1,VRP_PANEL_V25_190356,VRPCompressionV25RootBranch:NQ/USD:2020-12-31T20:30:00+00:00:4,1609446600000,1609720200000,2020-12-31T20:30:00+00:00,2021-01-04T00:30:00+00:00,2020-12-31,source_anchor_previous_session_context,Bull,0.9797225384,0.8,22.75,3,0.5456731921525242,0.2261904761904762,0.09126984126984126,0.376984126984127,22.75,25.28,1.1112087912087913,not_consumed_no_direct_event_rows,TrendExpansion,VRPCompressionCarry,options_volatility_risk_premium,VRPCompressionV25RootBranch,Bull -> TrendExpansion -> VRPCompressionCarry -> VRPCompressionV25RootBranch,board-b-vrp-v25-root-branch-rc-spa/v1,15m_trade,long_carry_research_only_until_bull_branch_rc_spa_passes,deny_bbn_bull_score_0p6_0p8_and_suppress_if_branch_gate_fails,2020,-0.0005067732189845131,-0.0005067732189845131,loss,vrp_exit_or_regime_break
5,board-b-vrp-v25-root-branch-rc-spa/v1,VRPCompressionV25RootBranch,v25b_deny_bull_score_0p6_0p8,NQ/USD,NQ=F/NQ_USD,^IXIC,VRPCompressionV25RootBranch,pandas-vrp-v25-root-aware-panel,20260511T190356+0800-codex-board-b-vrp-v25-root-branch-rc-spa-v1,VRP_PANEL_V25_190356,VRPCompressionV25RootBranch:NQ/USD:2021-01-07T13:00:00+00:00:5,1610024400000,1610116200000,2021-01-07T13:00:00+00:00,2021-01-08T14:30:00+00:00,2021-01-07,source_anchor_previous_session_context,Bull,0.9797225384,0.6,22.3700008392334,1,0.4757371451006783,0.2222222222222222,0.1626984126984127,0.2896825396825397,22.37,25.02,1.118462226195798,not_consumed_no_direct_event_rows,TrendExpansion,VRPCompressionCarry,options_volatility_risk_premium,VRPCompressionV25RootBranch,Bull -> TrendExpansion -> VRPCompressionCarry -> VRPCompressionV25RootBranch,board-b-vrp-v25-root-branch-rc-spa/v1,15m_trade,long_carry_research_only_until_bull_branch_rc_spa_passes,deny_bbn_bull_score_0p6_0p8_and_suppress_if_branch_gate_fails,2021,0.020953796484044274,0.020953796484044274,win,stop_or_trailing_stop
6,board-b-vrp-v25-root-branch-rc-spa/v1,VRPCompressionV25RootBranch,v25b_deny_bull_score_0p6_0p8,NQ/USD,NQ=F/NQ_USD,^IXIC,VRPCompressionV25RootBranch,pandas-vrp-v25-root-aware-panel,20260511T190356+0800-codex-board-b-vrp-v25-root-branch-rc-spa-v1,VRP_PANEL_V25_190356,VRPCompressionV25RootBranch:NQ/USD:2021-02-03T13:00:00+00:00:6,1612357200000,1612362600000,2021-02-03T13:00:00+00:00,2021-02-03T14:30:00+00:00,2021-02-03,source_anchor_previous_session_context,Bull,0.9797225384,0.833,22.90999984741211,1,0.4757371451006783,0.18253968253968253,0.20238095238095238,0.2777777777777778,22.91,27.57,1.2034046268005238,not_consumed_no_direct_event_rows,TrendExpansion,VRPCompressionCarry,options_volatility_risk_premium,VRPCompressionV25RootBranch,Bull -> TrendExpansion -> VRPCompressionCarry -> VRPCompressionV25RootBranch,board-b-vrp-v25-root-branch-rc-spa/v1,15m_trade,long_carry_research_only_until_bull_branch_rc_spa_passes,deny_bbn_bull_score_0p6_0p8_and_suppress_if_branch_gate_fails,2021,-0.003681435574877434,-0.003681435574877434,loss,vrp_exit_or_regime_break
7,board-b-vrp-v25-root-branch-rc-spa/v1,VRPCompressionV25RootBranch,v25b_deny_bull_score_0p6_0p8,NQ/USD,NQ=F/NQ_USD,^IXIC,VRPCompressionV25RootBranch,pandas-vrp-v25-root-aware-panel,20260511T190356+0800-codex-board-b-vrp-v25-root-branch-rc-spa-v1,VRP_PANEL_V25_190356,VRPCompressionV25RootBranch:NQ/USD:2021-02-03T14:45:00+00:00:7,1612363500000,1612364400000,2021-02-03T14:45:00+00:00,2021-02-03T15:00:00+00:00,2021-02-03,source_anchor_previous_session_context,Bull,0.9797225384,0.833,22.90999984741211,1,0.4757371451006783,0.18253968253968253,0.20238095238095238,0.2777777777777778,22.91,27.57,1.2034046268005238,not_consumed_no_direct_event_rows,TrendExpansion,VRPCompressionCarry,options_volatility_risk_premium,VRPCompressionV25RootBranch,Bull -> TrendExpansion -> VRPCompressionCarry -> VRPCompressionV25RootBranch,board-b-vrp-v25-root-branch-rc-spa/v1,15m_trade,long_carry_research_only_until_bull_branch_rc_spa_passes,deny_bbn_bull_score_0p6_0p8_and_suppress_if_branch_gate_fails,2021,-0.004979637171418028,-0.004979637171418028,loss,vrp_exit_or_regime_break
8,board-b-vrp-v25-root-branch-rc-spa/v1,VRPCompressionV25RootBranch,v25b_deny_bull_score_0p6_0p8,NQ/USD,NQ=F/NQ_USD,^IXIC,VRPCompressionV25RootBranch,pandas-vrp-v25-root-aware-panel,20260511T190356+0800-codex-board-b-vrp-v25-root-branch-rc-spa-v1,VRP_PANEL_V25_190356,VRPCompressionV25RootBranch:NQ/USD:2021-02-03T17:30:00+00:00:8,1612373400000,1612375200000,2021-02-03T17:30:00+00:00,2021-02-03T18:00:00+00:00,2021-02-03,source_anchor_previous_session_context,Bull,0.9797225384,0.833,22.90999984741211,1,0.4757371451006783,0.18253968253968253,0.20238095238095238,0.2777777777777778,22.91,27.57,1.2034046268005238,not_consumed_no_direct_event_rows,TrendExpansion,VRPCompressionCarry,options_volatility_risk_premium,VRPCompressionV25RootBranch,Bull -> TrendExpansion -> VRPCompressionCarry -> VRPCompressionV25RootBranch,board-b-vrp-v25-root-branch-rc-spa/v1,15m_trade,long_carry_research_only_until_bull_branch_rc_spa_passes,deny_bbn_bull_score_0p6_0p8_and_suppress_if_branch_gate_fails,2021,-0.0010399450314768632,-0.0010399450314768632,loss,vrp_exit_or_regime_break
9,board-b-vrp-v25-root-branch-rc-spa/v1,VRPCompressionV25RootBranch,v25b_deny_bull_score_0p6_0p8,NQ/USD,NQ=F/NQ_USD,^IXIC,VRPCompressionV25RootBranch,pandas-vrp-v25-root-aware-panel,20260511T190356+0800-codex-board-b-vrp-v25-root-branch-rc-spa-v1,VRP_PANEL_V25_190356,VRPCompressionV25RootBranch:NQ/USD:2021-02-03T18:30:00+00:00:9,1612377000000,1612380600000,2021-02-03T18:30:00+00:00,2021-02-03T19:30:00+00:00,2021-02-03,source_anchor_previous_session_context,Bull,0.9797225384,0.833,22.90999984741211,1,0.4757371451006783,0.18253968253968253,0.20238095238095238,0.2777777777777778,22.91,27.57,1.2034046268005238,not_consumed_no_direct_event_rows,TrendExpansion,VRPCompressionCarry,options_volatility_risk_premium,VRPCompressionV25RootBranch,Bull -> TrendExpansion -> VRPCompressionCarry -> VRPCompressionV25RootBranch,board-b-vrp-v25-root-branch-rc-spa/v1,15m_trade,long_carry_research_only_until_bull_branch_rc_spa_passes,deny_bbn_bull_score_0p6_0p8_and_suppress_if_branch_gate_fails,2021,-0.0014288365188346308,-0.0014288365188346308,loss,vrp_exit_or_regime_break
10,board-b-vrp-v25-root-branch-rc-spa/v1,VRPCompressionV25RootBranch,v25b_deny_bull_score_0p6_0p8,NQ/USD,NQ=F/NQ_USD,^IXIC,VRPCompressionV25RootBranch,pandas-vrp-v25-root-aware-panel,20260511T190356+0800-codex-board-b-vrp-v25-root-branch-rc-spa-v1,VRP_PANEL_V25_190356,VRPCompressionV25RootBranch:NQ/USD:2021-04-16T13:15:00+00:00:10,1618578900000,1618580700000,2021-04-16T13:15:00+00:00,2021-04-16T13:45:00+00:00,2021-04-16,source_anchor_previous_session_context,Bull,0.9797225384,1.0,16.25,1,0.11165593363778695,0.003968253968253968,0.2976190476190476,0.1984126984126984,16.25,20.53,1.2633846153846156,not_consumed_no_direct_event_rows,TrendExpansion,VRPCompressionCarry,options_volatility_risk_premium,VRPCompressionV25RootBranch,Bull -> TrendExpansion -> VRPCompressionCarry -> VRPCompressionV25RootBranch,board-b-vrp-v25-root-branch-rc-spa/v1,15m_trade,long_carry_research_only_until_bull_branch_rc_spa_passes,deny_bbn_bull_score_0p6_0p8_and_suppress_if_branch_gate_fails,2021,-0.0053546567665012645,-0.0053546567665012645,loss,vrp_exit_or_regime_break
11,board-b-vrp-v25-root-branch-rc-spa/v1,VRPCompressionV25RootBranch,v25b_deny_bull_score_0p6_0p8,NQ/USD,NQ=F/NQ_USD,^IXIC,VRPCompressionV25RootBranch,pandas-vrp-v25-root-aware-panel,20260511T190356+0800-codex-board-b-vrp-v25-root-branch-rc-spa-v1,VRP_PANEL_V25_190356,VRPCompressionV25RootBranch:NQ/USD:2021-04-16T14:00:00+00:00:11,1618581600000,1618783200000,2021-04-16T14:00:00+00:00,2021-04-18T22:00:00+00:00,2021-04-16,source_anchor_previous_session_context,Bull,0.9797225384,1.0,16.25,1,0.11165593363778695,0.003968253968253968,0.2976190476190476,0.1984126984126984,16.25,20.53,1.2633846153846156,not_consumed_no_direct_event_rows,TrendExpansion,VRPCompressionCarry,options_volatility_risk_premium,VRPCompressionV25RootBranch,Bull -> TrendExpansion -> VRPCompressionCarry -> VRPCompressionV25RootBranch,board-b-vrp-v25-root-branch-rc-spa/v1,15m_trade,long_carry_research_only_until_bull_branch_rc_spa_passes,deny_bbn_bull_score_0p6_0p8_and_suppress_if_branch_gate_fails,2021,-0.0018777831428724578,-0.0018777831428724578,loss,vrp_exit_or_regime_break
12,board-b-vrp-v25-root-branch-rc-spa/v1,VRPCompressionV25RootBranch,v25b_deny_bull_score_0p6_0p8,NQ/USD,NQ=F/NQ_USD,^IXIC,VRPCompressionV25RootBranch,pandas-vrp-v25-root-aware-panel,20260511T190356+0800-codex-board-b-vrp-v25-root-branch-rc-spa-v1,VRP_PANEL_V25_190356,VRPCompressionV25RootBranch:NQ/USD:2021-04-23T14:30:00+00:00:12,1619188200000,1619425800000,2021-04-23T14:30:00+00:00,2021-04-26T08:30:00+00:00,2021-04-23,source_anchor_previous_session_context,Bull,0.9797225384,0.833,17.329999923706055,1,0.37426097255367324,0.007936507936507936,0.1111111111111111,0.21825396825396826,17.33,21.57,1.2446624350836701,not_consumed_no_direct_event_rows,TrendExpansion,VRPCompressionCarry,options_volatility_risk_premium,VRPCompressionV25RootBranch,Bull -> TrendExpansion -> VRPCompressionCarry -> VRPCompressionV25RootBranch,board-b-vrp-v25-root-branch-rc-spa/v1,15m_trade,long_carry_research_only_until_bull_branch_rc_spa_passes,deny_bbn_bull_score_0p6_0p8_and_suppress_if_branch_gate_fails,2021,0.0019719583898687443,0.0019719583898687443,win,vrp_exit_or_regime_break
