requirement,status,evidence,notes
authoritative_board_updated,pass,"docs/plans/2026-05-10-regime-conditional-auto-quant-profitability-todo.md","Append-only rows through 053410 read-only chain, 052522 count-once reconciliation, v17, and this v18 audit; cursor unchanged."
regime_rooted_branch_path_preserved,partial,"052828 Regime Bundle BBN Assignment Integration Readback","Code-level Pre-Bayes/BBN assignment wiring passed, but not from selected-data profitability rows."
selected_historical_dataset,fail,"board blocker user_selected_historical_data_missing","No explicit user choice of exactly one HTF, MTF, or LTF is present."
provider_paths_checked,partial,"053410 read-only provider/runtime refresh","yfinance, IBKR ad-hoc uv, Kraken public, and Kraken CLI visibility exists; TradingViewRemix direct harness failed; none is selected-data profitability evidence."
selected_data_auto_quant_factor_research,fail,"053410 read-only refresh and v17 audit","No selected-data Auto-Quant/factor-research packet exists; 053410 was copied-state read-only and blocked behind user selection."
nonzero_mature_rooted_observations,fail,"053410 policy/CatBoost status","Mature rows are 0 and path-ranker validation remains 0/30."
pre_bayes_filter_downstream,fail,"053410 pre_bayes_status","Pre-Bayes stayed observe_only; runtime branch-path preservation was not proven in that copied-state readback."
bbn_downstream,fail,"052828 unit/integration evidence plus 053410 read-only refresh","Assignment plumbing passed, but no selected-data BBN promotion packet exists."
catboost_path_ranker_downstream,fail,"053410 policy_training_status","Ranker runtime disabled or unready; production validation 0/30 and observation validation 0/30."
execution_tree_downstream,fail,"053410 workflow_execution_candidate","Execution candidate stayed execution_blocked, ready=false, actionable=false."
source_label_hgb_confidence,diagnostic_only,"051844/052911 HGB numeric screen","All four roots accepted at local HGB source-label gate; no accepted rows/canonical merge/downstream promotion rerun."
source_label_numeric_tree_confidence,diagnostic_only,"052522 numeric-tree screen","Bull/Crisis/Sideways accepted; Bear failed heldout-market Wilson95 gate; no promotion fields opened."
multi_agent_safety,pass,"append-only board rows and count-once reconciliations","No cursor overwrite; duplicate evidence families are counted once."
update_goal,fail,"this audit","Not complete; update_goal must not be called."
