"requirement","status","evidence","result"
"authoritative_board_append_only","partial","docs/plans/2026-05-10-regime-conditional-auto-quant-profitability-todo.md","current cursor remains 034002 fail-closed; duplicate diagnostic rows have count-once reconciliations"
"regime_branch_identity","partial","034002/downstream-combined-v1","mechanically visible but not sufficient for promotion"
"explicit_user_selected_historical_data","fail","historical-data gate v2","missing; choices remain HTF=1d, MTF=4h, LTF=1h"
"selected_data_auto_quant","fail","043449 and 043222 readbacks","043449 is agent-selected handoff only; 043222 is BTC-only cache runtime repair"
"mature_rooted_observations","fail","Board B v8 plus latest settlements","no selected-data nonzero mature rooted observations"
"pre_bayes_filter_admission","fail","Board B v8 audit","no selected-data admitting Pre-Bayes/filter rerun"
"bbn_acceptance","fail","Board B v8 audit and 042448 readback","no accepted posterior; HistGB accepted labels empty"
"catboost_execution_tree_admission","fail","Board B v8 audit","path-ranker/execution remain non-promoting; no selected-data rerun"
"provider_surfaces","partial","043226 provider root-cause probe","uv dependency wrappers work; system deps missing; TradingViewRemix rate-limited"
"source_control_roots","fail","043314 and 043436 source/control scans","no verifier-native R6 owner-export, no R3 native-subhour root, no R5 recency-extension root, no new source/control unlock"
"completion_or_update_goal","fail","this audit","goal_complete=false; update_goal=false"
