source_id,catalog,title,url,class,decision,reason,root_hits,target_hits,timeframe_hits,label_hits,proxy_hits,direct_manipulation_hits
github:QuhiQuhihi/regime_model,github,regime_model,https://github.com/QuhiQuhihi/regime_model,root_label_catalog_candidate,rejected_proxy_or_model_generated,"Metadata includes model/proxy terms such as HMM/GMM/clustering/future-return/strategy/OHLCV, which cannot count as independent source labels.","{""Bear"": false, ""Bull"": false, ""Crisis"": false, ""Sideways"": false}","[""cl"", ""es"", ""spy""]","[""daily"", ""hourly""]","[""class"", ""label"", ""regime""]","[""hidden markov"", ""strategy""]","[""class"", ""label""]"
github:tubakhxn/Market-Regime-Detection-System,github,Market-Regime-Detection-System,https://github.com/tubakhxn/Market-Regime-Detection-System,root_label_catalog_candidate,rejected_proxy_or_model_generated,"Metadata includes model/proxy terms such as HMM/GMM/clustering/future-return/strategy/OHLCV, which cannot count as independent source labels.","{""Bear"": true, ""Bull"": true, ""Crisis"": false, ""Sideways"": true}","[""cl"", ""es"", ""spy""]",[],"[""class"", ""regime""]","[""clustering"", ""hidden markov"", ""kmeans"", ""technical indicator""]","[""class""]"
github:mirkovicdev/CLUSTERING-MARKET-REGIMES,github,CLUSTERING-MARKET-REGIMES,https://github.com/mirkovicdev/CLUSTERING-MARKET-REGIMES,root_label_catalog_candidate,rejected_proxy_or_model_generated,"Metadata includes model/proxy terms such as HMM/GMM/clustering/future-return/strategy/OHLCV, which cannot count as independent source labels.","{""Bear"": true, ""Bull"": true, ""Crisis"": true, ""Sideways"": false}","[""cl"", ""dia"", ""es"", ""spy""]","[""1d"", ""minute""]","[""regime""]","[""clustering"", ""k-means"", ""kmeans"", ""unsupervised""]",[]
github:akash-kumar5/CryptoMarket_Regime_Classifier,github,CryptoMarket_Regime_Classifier,https://github.com/akash-kumar5/CryptoMarket_Regime_Classifier,root_label_catalog_candidate,rejected_proxy_or_model_generated,"Metadata includes model/proxy terms such as HMM/GMM/clustering/future-return/strategy/OHLCV, which cannot count as independent source labels.","{""Bear"": false, ""Bull"": false, ""Crisis"": false, ""Sideways"": false}","[""cl"", ""es""]","[""15m"", ""5m""]","[""class"", ""label"", ""labeled"", ""regime""]","[""hidden markov"", ""hmm"", ""ohlcv"", ""prediction"", ""signal"", ""strategy"", ""technical indicator"", ""unsupervised""]","[""class"", ""dataset"", ""label"", ""labeled""]"
github:issaz/signature-regime-detection,github,signature-regime-detection,https://github.com/issaz/signature-regime-detection,root_label_catalog_candidate,rejected_proxy_or_model_generated,"Metadata includes model/proxy terms such as HMM/GMM/clustering/future-return/strategy/OHLCV, which cannot count as independent source labels.","{""Bear"": false, ""Bull"": false, ""Crisis"": false, ""Sideways"": false}","[""cl"", ""es""]",[],"[""regime""]","[""clustering""]",[]
github:LSEG-API-Samples/Article.RD.Python.MarketRegimeDetectionUsingStatisticalAndMLBasedApproaches,github,Article.RD.Python.MarketRegimeDetectionUsingStatisticalAndMLBasedApproaches,https://github.com/LSEG-API-Samples/Article.RD.Python.MarketRegimeDetectionUsingStatisticalAndMLBasedApproaches,root_label_catalog_candidate,rejected_proxy_or_model_generated,"Metadata includes model/proxy terms such as HMM/GMM/clustering/future-return/strategy/OHLCV, which cannot count as independent source labels.","{""Bear"": true, ""Bull"": true, ""Crisis"": true, ""Sideways"": false}","[""cl"", ""es""]",[],"[""class"", ""regime""]","[""clustering"", ""gaussian mixture"", ""hidden markov"", ""hmm"", ""k-means"", ""strategy"", ""unsupervised""]","[""class""]"
github:akeele/StockMarketHMM,github,StockMarketHMM,https://github.com/akeele/StockMarketHMM,root_label_catalog_candidate,rejected_proxy_or_model_generated,"Metadata includes model/proxy terms such as HMM/GMM/clustering/future-return/strategy/OHLCV, which cannot count as independent source labels.","{""Bear"": false, ""Bull"": false, ""Crisis"": false, ""Sideways"": false}","[""es""]",[],"[""regime""]","[""hidden markov"", ""hmm"", ""strategy""]",[]
github:Poulami-Nandi/RegimeDetectionHMM,github,RegimeDetectionHMM,https://github.com/Poulami-Nandi/RegimeDetectionHMM,root_label_catalog_candidate,rejected_proxy_or_model_generated,"Metadata includes model/proxy terms such as HMM/GMM/clustering/future-return/strategy/OHLCV, which cannot count as independent source labels.","{""Bear"": true, ""Bull"": true, ""Crisis"": false, ""Sideways"": false}","[""cl"", ""dia"", ""es""]","[""daily""]","[""class"", ""label"", ""labeled"", ""regime""]","[""forecast"", ""hidden markov"", ""hmm"", ""strategy""]","[""class"", ""label"", ""labeled""]"
github:Abdullah-BA/RegimeSwitchingMomentumStrategy,github,RegimeSwitchingMomentumStrategy,https://github.com/Abdullah-BA/RegimeSwitchingMomentumStrategy,root_label_catalog_candidate,rejected_proxy_or_model_generated,"Metadata includes model/proxy terms such as HMM/GMM/clustering/future-return/strategy/OHLCV, which cannot count as independent source labels.","{""Bear"": true, ""Bull"": true, ""Crisis"": false, ""Sideways"": false}","[""cl"", ""es""]","[""daily""]","[""regime""]","[""hidden markov"", ""hmm"", ""ohlcv"", ""signal"", ""strategy"", ""technical indicator""]",[]
github:CCEW/ECS171,github,ECS171,https://github.com/CCEW/ECS171,root_label_catalog_candidate,rejected_proxy_or_model_generated,"Metadata includes model/proxy terms such as HMM/GMM/clustering/future-return/strategy/OHLCV, which cannot count as independent source labels.","{""Bear"": true, ""Bull"": true, ""Crisis"": false, ""Sideways"": true}","[""cl"", ""dia"", ""es""]","[""daily""]","[""class"", ""regime""]","[""prediction"", ""signal""]","[""class"", ""dataset""]"
