id,requirement,status,artifact,evidence,gap
R0,named board remains the execution contract,pass_checked,docs/plans/2026-05-10-actionable-regime-confidence-todo.md,todo_sha256_before_audit=a54f7176a885bfbc688c348e34822b6e251b1cfff63a7a5b71f72a6afa904977,
R1,each active regime has scoped calibrated >=95 confidence,scoped_pass_not_full,docs/experiments/actionable-regime-confidence/runs/20260511T192655-codex-current-goal-completion-audit-v22-after-intake-and-subhour-readbacks/completion-audit/current_goal_completion_audit_v22_after_intake_and_subhour_readbacks.json,v22_R1_status=scoped_pass_not_full; v22_gate=current_goal_completion_audit_v22=intake_and_subhour_readbacks_confirm_full_objective_blocked,"The scoped active-lane 95% evidence remains present, but the explicit other-market and other-cycle transfer requirements are not complete."
R2,strict exact 1h market/timeframe coverage is complete,fail_blocked,docs/experiments/actionable-regime-confidence/runs/20260511T192655-codex-current-goal-completion-audit-v22-after-intake-and-subhour-readbacks/completion-audit/current_goal_completion_audit_v22_after_intake_and_subhour_readbacks.json,fixed_gate=41/156; future_protocol=45/156,Strict exact 1h coverage remains partial; future-tail support is scoped and does not close the fixed gate.
R3,strict 1h remaining rows have new source-owned intake rows and provenance,fail_blocked,docs/experiments/actionable-regime-confidence/runs/20260511T192900-codex-strict-1h-contract-panel-exhaustion-v1/strict-1h-contract-panel-exhaustion/strict_1h_contract_panel_exhaustion_v1.json,source_intake_missing_files=2; live_intake_files=0; contract_targets=4; targets_materializable_from_existing_panel=0; extra_source_rows=0,"The live strict intake files are absent, and the existing source panel has zero extra rows beyond already-counted gate support."
R4,source recency tail can repair XOM/Sideways and next strict 1h targets,fail_blocked,docs/experiments/actionable-regime-confidence/runs/20260511T192218-codex-stock-regime-kaggle-live-recency-check-v1/kaggle-live-recency/stock_regime_kaggle_live_recency_check_v1.json,recency_gate=stock_regime_kaggle_live_recency_check_v1=upstream_current_file_no_xom_sideways_tail_repair; xom_panel_extra=0; xom_jan2026_tail=0,The current stock-regime source still supplies no new XOM/Sideways tail rows and no extra source-owned sessions for the contract targets.
R5,native sub-hour validation has source-owned native sub-hour labels,fail_blocked,docs/experiments/actionable-regime-confidence/runs/20260511T192750-codex-native-subhour-external-source-screen-v1/native-subhour-external-source-screen/native_subhour_external_source_screen_v1.json,projection_quarantine=native_subhour_projection_quarantine_v1=projected_subhour_rows_not_native_source_labels; native_external=native_subhour_external_source_screen_v1=no_ready_native_subhour_source_labels; native_candidates=3; accepted_rows=0,"Projected sub-hour rows remain quarantined, and targeted public searches found no ready source-owned native sub-hour labels."
R6,other-market/source-label equivalence has suitable confidence,fail_blocked,docs/experiments/actionable-regime-confidence/runs/20260511T191623-codex-external-source-label-second-screen-v1/external-source-label-second-screen/external_source_label_second_screen_v1.json,external_decision=external_source_label_second_screen_v1=no_promotable_source_label_equivalence; accepted_rows_added=0; full_equivalence=False,Second-pass external screening still accepted zero owner-approved MainRegimeV2 equivalence rows.
R7,"direct Manipulation full species coverage has matched positives, negatives, and provenance",fail_blocked,docs/experiments/actionable-regime-confidence/runs/20260511T193301-codex-direct-manipulation-intake-verifier-readback-v1/direct-manipulation-intake-verifier-readback/direct_manipulation_intake_verifier_readback_v1.json,direct_screen_gate=direct_missing_species_source_screen_v2=no_ready_positive_control_source; ready_sources=0; direct_intake_decision=direct_manipulation_intake_verifier_readback_v1=blocked_missing_direct_intake_files; missing_direct_files=3; intake_root_exists=False,"Direct missing-species screening found no ready positive/control sources, and the direct Manipulation row-intake files are absent."
R8,proxy/generated labels and duplicate rows remain fail-closed,pass_guardrail,docs/experiments/actionable-regime-confidence/runs/20260511T192750-codex-native-subhour-external-source-screen-v1/native-subhour-external-source-screen/native_subhour_external_source_screen_v1.json,native_hmm_candidate_rejected=native_subhour_external_source_screen_v1=no_ready_native_subhour_source_labels; strict_duplicate_panel_rejected=strict_1h_contract_panel_exhaustion_v1=existing_source_panel_has_zero_extra_contract_rows; fixed_rows_added_by_future_tail=0,
R9,do not call update_goal until strict full objective is achieved,pass_guardrail,docs/experiments/actionable-regime-confidence/runs/20260511T193301-codex-direct-manipulation-intake-verifier-readback-v1/direct-manipulation-intake-verifier-readback/direct_manipulation_intake_verifier_readback_v1.json,v22_update_goal=False; strict_exhaustion_update_goal=False; direct_verifier_update_goal=False,
