line,pattern,text
25824,explicit source/control approval,"- Preserve the Current Cursor next action and the `062409` source-selection decision. Continue only after explicit source/control approval, verifier-native R6 owner-export rows with valid controls, source-owned R5 recency rows, verifier-native R3 native-subhour `MainRegimeV2` rows, or a genuinely ne"
25852,explicit source/control approval,"- Preserve the Current Cursor next action. Continue only after explicit source/control approval, verifier-native R6 owner-export rows with valid controls, source-owned R5 recency rows, or verifier-native R3 native-subhour `MainRegimeV2` rows unlock a required root. Then rerun direct verifier, split "
25866,explicit source/control approval,"- Preserve the Current Cursor next action. Continue only after explicit source/control approval, verifier-native R6 owner-export rows with valid controls, source-owned R5 recency rows, or verifier-native R3 native-subhour `MainRegimeV2` rows unlock a required root before rerunning direct verifier, s"
25892,explicit source/control approval,"- Preserve the Current Cursor next action. Continue only from explicit source/control approval, verifier-native R6 owner-export rows with valid controls, source-owned R5 recency rows, source-owned R3 native-subhour labels with accepted `MainRegimeV2` equivalence, or a genuinely new cross-timeframe `"
25906,explicit source/control approval,"- Preserve the Current Cursor next action. Continue only after explicit source/control approval, verifier-native R6 owner-export rows with valid controls, source-owned R5 recency rows, verifier-native R3 native-subhour `MainRegimeV2` rows, or a genuinely new accepted cross-timeframe `MainRegimeV2` s"
25917,FLIP.*approval,"- The count-once decision remains unchanged: official owner/export routes remain valid, but no external request was sent, no vendor ticket/export/license/order/support identifier exists, no source-owned normal controls were acquired, no explicit `FLIP`-as-control approval exists, required target roo"
25920,explicit source/control approval,"- Preserve the Current Cursor next action. Use the existing v5 `.eml` drafts through an approved operator mail/vendor-portal path and preserve returned ticket/export/license/order/support identifiers in `provenance_manifest.json`, or supply explicit source/control approval or verifier-native owner-e"
25935,explicit source/control approval,"- Preserve the Current Cursor next action. Do not rerun provider/AutoQuant -> filter/Pre-Bayes -> BBN -> CatBoost/path-ranking -> execution-tree promotion until explicit source/control approval, verifier-native R6 owner-export rows with valid controls, source-owned R5 recency rows, verifier-native R"
26003,explicit source/control approval,"- Preserve the Current Cursor next action. Continue only after explicit source/control approval, verifier-native R6 owner-export rows with valid controls, source-owned R5 recency rows, verifier-native R3 native-subhour `MainRegimeV2` rows, or a genuinely new accepted cross-timeframe `MainRegimeV2` s"
26033,explicit source/control approval,"- Preserve the Current Cursor next action. Continue only from explicit source/control approval, verifier-native R6 owner/export rows with valid controls, source-owned R5 recency rows, verifier-native R3 native-subhour `MainRegimeV2` rows, or a genuinely new accepted cross-timeframe `MainRegimeV2` so"
26044,FLIP.*approval,"- The count-once decision remains unchanged: official CME Group and Cboe/CFE owner/export routes remain valid, but no dispatch, ticket, license, export, support id, source-owned normal control rows, or explicit `FLIP`-as-control approval exists."
26049,explicit source/control approval,"- Preserve the Current Cursor next action. Use the existing v5 `.eml` drafts through an approved operator mail/vendor-portal path and preserve returned ticket/export/license/order/support identifiers in `provenance_manifest.json`, or supply explicit source/control approval or verifier-native owner-e"
26060,FLIP.*approval,"- The count-once decision remains unchanged: official CME/Cboe-CFE routes are still confirmed, but no external request was sent, no vendor ticket/export/license/order/support identifier exists, no source-owned normal controls were acquired, and no explicit `FLIP`-as-control approval exists."
26065,explicit source/control approval,"- Preserve the Current Cursor next action. Use the existing v5 `.eml` drafts through an approved operator mail/vendor-portal path and preserve returned ticket/export/license/order/support identifiers in `provenance_manifest.json`, or supply explicit source/control approval or verifier-native owner-e"
26076,FLIP.*approval,"- The count-once decision remains unchanged: official CME and Cboe/CFE owner routes are confirmed, but external requests sent false, vendor ticket/export/license/order/support identifiers present false, explicit `FLIP`-as-control approval false, source-owned normal-control files acquired false, acce"
26080,explicit source/control approval,"- Preserve the Current Cursor next action. Use the existing v5 `.eml` drafts through an approved operator mail/vendor-portal path and preserve returned ticket/export/license/order/support identifiers in `provenance_manifest.json`, or supply explicit source/control approval or verifier-native owner-e"
26100,FLIP.*approval,"- The refresh acquired no vendor ticket, license, export order, support identifier, source-owned normal controls, or explicit `FLIP`-as-control approval."
26105,explicit source/control approval,"- Preserve the Current Cursor next action. Use the existing v5 `.eml` drafts through an approved operator mail/vendor-portal path and preserve returned ticket/export/license/order/support identifiers in `provenance_manifest.json`, or supply explicit source/control approval or verifier-native owner-e"
26126,FLIP.*approval,"- No operator dispatch occurred in this slice: external requests sent false, vendor ticket/export/license/order/support identifiers present false, explicit `FLIP`-as-control approval false, and source-owned normal-control files acquired false."
26131,explicit source/control approval,"- Preserve the Current Cursor next action. Use the existing v5 `.eml` drafts through an approved operator mail/vendor-portal path and preserve returned ticket/export/license/order/support identifiers in `provenance_manifest.json`, or supply explicit source/control approval or verifier-native owner-e"
26147,explicit source/control approval,"- Treat it as R6 owner-route readiness evidence only. It is not R6 owner/export control evidence, not explicit source/control approval, not R3 native-subhour accepted evidence, not R5 recency evidence, not canonical merge input, not downstream promotion evidence, not trade evidence, and not `update_"
26151,FLIP.*approval,"- No external request was sent, no vendor ticket/export/license/order/support identifier exists, no source-owned normal controls were acquired, and no explicit `FLIP`-as-control approval exists in this slice."
26156,explicit source/control approval,"- Use the existing v5 `.eml` drafts through an approved operator mail/vendor-portal path and preserve returned ticket/export/license/order/support identifiers in `provenance_manifest.json`, or supply explicit source/control approval or verifier-native owner-export rows. Only after `/tmp/ict-engine-b"
26181,explicit source/control approval,"- Preserve the Current Cursor next action. Use the existing v5 `.eml` drafts through an approved operator mail/vendor-portal path and preserve returned ticket/export/license/order/support identifiers in `provenance_manifest.json`, or supply explicit source/control approval or verifier-native owner-e"
26196,explicit source/control approval,"- Preserve the Current Cursor next action. Continue only after explicit source/control approval, verifier-native R6 owner-export rows with valid controls, source-owned R5 recency rows, verifier-native R3 native-subhour `MainRegimeV2` rows, or a genuinely new accepted cross-timeframe `MainRegimeV2` s"
26211,explicit source/control approval,"- Preserve the Current Cursor next action. Continue only after explicit source/control approval, verifier-native R6 owner-export rows with valid controls, source-owned R5 recency rows, verifier-native R3 native-subhour `MainRegimeV2` rows, or a genuinely new accepted cross-timeframe `MainRegimeV2` s"
26237,explicit source/control approval,"- Preserve the Current Cursor next action. Continue only from explicit source/control approval, verifier-native R6 owner-export rows with valid controls, source-owned R5 recency rows, source-owned R3 native-subhour labels with accepted `MainRegimeV2` equivalence, or a genuinely new cross-timeframe `"
26248,FLIP.*approval,"- The count-once decision remains unchanged: official owner/export routes remain valid, but no external request was sent, no vendor ticket/export/license/order/support identifier exists, no source-owned normal controls were acquired, no explicit `FLIP`-as-control approval exists, required target roo"
26251,explicit source/control approval,"- Preserve the Current Cursor next action. Use the existing v5 `.eml` drafts through an approved operator mail/vendor-portal path and preserve returned ticket/export/license/order/support identifiers in `provenance_manifest.json`, or supply explicit source/control approval or verifier-native owner-e"
26262,explicit source/control approval,"- The count-once decision remains unchanged: CME and Cboe/CFE official owner/export routes are current enough for the operator path, but no dispatch was sent, no vendor ticket/export/license/order/support identifier exists, no explicit source/control approval exists, and no verifier-native owner-exp"
26267,explicit source/control approval,"- Preserve the Current Cursor next action. Use the existing v5 `.eml` drafts through an approved operator mail/vendor-portal path and preserve returned ticket/export/license/order/support identifiers in `provenance_manifest.json`, or supply explicit source/control approval or verifier-native owner-e"
26296,explicit source/control approval,"- Do not run or count `062902` as an R3 unlock unless the user or board explicitly changes the source/control policy. Continue from real R6 owner/export rows, source-owned R5 recency rows, verifier-native R3 labels, a genuinely new accepted cross-timeframe `MainRegimeV2` source export, or explicit s"
26316,explicit source/control approval,"- Preserve the Current Cursor next action. Use `062854` as read-only runtime evidence only. Do not rerun provider/AutoQuant -> filter/Pre-Bayes -> BBN -> CatBoost/path-ranking -> execution-tree promotion until explicit source/control approval, verifier-native R6 owner-export rows with valid controls"
26332,verifier-native R3,"- Treat the observed `/tmp/ict-engine-native-subhour-source-label-intake` as a tainted/proxy TSIE root, not as an accepted R3 native-subhour unlock, until explicit source/control policy changes or the root is replaced by verifier-native R3 labels."
26340,explicit source/control approval,"- Do not consume `/tmp/ict-engine-native-subhour-source-label-intake` as an unlock. Wait for the active writer to finish before any row-count/hash audit, then either quarantine/count it as rejected TSIE proxy evidence or replace it with explicit source/control approval, verifier-native R6 owner-expo"
26366,verifier-native R6 owner-export,"- Keep the TSIE target root quarantined. Continue only after explicit source/control-policy approval, verifier-native R6 owner-export rows with valid controls, source-owned R5 recency rows, verifier-native R3 `MainRegimeV2` labels, or a genuinely new accepted cross-timeframe `MainRegimeV2` source ex"
26387,explicit source/control approval,"- Do not run direct verifier, split calibration, canonical merge, provider/AutoQuant, filter/Pre-Bayes, BBN, CatBoost/path-ranking, or execution-tree promotion from this TSIE root. Wait for the active writer to finish before any file-level hash/row audit, then continue only from explicit source/cont"
26413,explicit source/control approval,"- Preserve the current fail-closed cursor direction. Continue only from an approved operator/vendor R6 export path, explicit source/control approval, source-owned R5 recency rows, verifier-native R3 labels, or a genuinely new accepted cross-timeframe `MainRegimeV2` source export before rerunning dir"
26443,explicit source/control approval,"- Do not consume `/tmp/ict-engine-native-subhour-source-label-intake` as an unlock. Continue only from explicit source/control approval, verifier-native R6 owner-export rows with valid controls, source-owned R5 recency rows, verifier-native R3 `MainRegimeV2` labels, or a genuinely new accepted cross"
26467,explicit source/control approval,"- Preserve the current fail-closed direction. Continue only from explicit source/control approval, verifier-native R6 owner-export rows with valid controls, source-owned R5 recency rows, verifier-native R3 `MainRegimeV2` labels, or a genuinely new accepted cross-timeframe `MainRegimeV2` source expor"
