requirement,status,evidence,gap
named_board_file_preserved,pass,docs/plans/2026-05-10-actionable-regime-confidence-todo.md,board remains coordination surface
multi_agent_append_only,pass,created new 033625 run root and append-only board note,no concurrent run root edited
every_active_regime_calibrated_95,blocked,033334 and 033430 contain no per-regime calibrated confidence,source confidence remains absent
per_regime_qualifying_conditions,blocked,no qualifying_condition rows in 033334 or 033430,conditions still missing
cross_market_cycle_timeframe_validation,blocked,033430 is AutoQuant prepare state only,no cross-market regime validation
r6_owner_export_or_flip_approval,blocked,/tmp/ict-engine-board-a-r6-owner-export-v1 absent and approval false,owner export or approval missing
r3_native_subhour_source_labels,blocked,/tmp/ict-engine-native-subhour-source-label-intake absent,native sub-hour labels missing
r5_source_panel_recency_extension,blocked,/tmp/ict-engine-source-panel-recency-extension absent,recency extension missing
provider_coverage_ibkr_tradingview_yfinance_kraken,blocked,not advanced by this slice,provider chain still requires source/control unlock before promotion
autoquant_operated_locally,partial,033430 prepare exit 0 data_ready true,status_after dependency_ready_seed_required
noaiodns_workaround_proven,blocked,033524 uninstall exit 2 and import check still aiodns_present True,no-aiodns environment was not proven
filter_prebayes_bbn_evidence,blocked,no post-source-unlock filter/BBN run,source controls must unlock first
catboost_path_ranking,blocked,no post-source-unlock CatBoost/path-ranking run,source controls must unlock first
execution_tree_promotion,blocked,no post-source-unlock execution-tree run,source controls must unlock first
canonical_merge_and_downstream_rerun,blocked,canonical merge false and source roots absent,merge/rerun disallowed
goal_completion_update_goal,blocked,strict objective false update_goal false,do not call update_goal
