requirement,evidence,status,notes
Named board updated append-only,docs/plans/2026-05-10-actionable-regime-confidence-todo.md,met,"Latest board sections are append-only and preserve count-once/fail-closed wording."
Every active regime reaches >=95 percent confidence,065822/070312/070315 accounting,not_met,"Accepted rows added 0 and no valid source/control unlock exists; no per-regime 95 percent packet is accepted."
Each accepted regime has qualifying condition plus cross-market/cycle/timeframe validation,065820/070315 source-route readbacks,not_met,"No accepted MainRegimeV2 packet exists; public candidates were rejected or context-only."
R6 owner/export source/control unlock,/tmp/ict-engine-board-a-r6-owner-export-v1,not_met,"Root absent; CFTC public context is not owner-export rows with valid normal controls."
R5 post-cutoff recency source-panel unlock,/tmp/ict-engine-source-panel-recency-extension,not_met,"Root absent; known stock-market-regimes source ends at 2026-01-30."
R3 native-subhour Crisis-capable unlock,/tmp/ict-engine-native-subhour-source-label-intake,not_met,"Physical rows exist but are TSIE-derived/quarantined and labels omit Crisis."
Operate AutoQuant locally,070312 AutoQuant reconciliation,partial,"AutoQuant is data-ready and Tomac harness succeeded once, but default/managed runs failed and no source/control promotion is allowed."
Operate ict-engine provider/filter/Pre-Bayes/BBN/CatBoost/path-ranking/execution-tree chain,065822 provider refresh,partial,"Read-only status commands ran; workflow remains blocked, path-ranking has 0 mature/calibrated rows, and no post-unlock promotion rerun exists."
Use IBKR TradingViewRemix yfinance Kraken surfaces,065822 provider-status output,partial,"Provider-status was called; yfinance and Kraken CLI are usable, while IBKR/TradingViewRemix/Kraken public remain non-promoting or dependency-blocked."
No proxy/quarantined data promoted,065822 required-root CSV and 070315 source-route probe,met,"TSIE, source-label equivalence, public CFTC context, dashboards, and libraries remain non-promoting."
Direct verifier and split calibration before merge,current board gating,not_applicable_blocked,"Skipped because valid source/control unlock is absent."
Canonical merge and downstream promotion after unlock,current board gating,not_applicable_blocked,"Skipped because direct verifier/split calibration cannot run without unlock."
Multi-agent safety,current board tail and count-once sections,met,"No existing sections were rewritten or deleted; latest note should be append-only."
Do not call update_goal unless complete,current audit,met,"Strict full objective false and update_goal remains false."
